scorer,AURC_mean,AURC_std,E_AURC_mean,E_AURC_std,AUROC_mean,AUROC_std,n_seeds
learned_self_eval(ASPIRE-style),0.10526518310120253,0.0031499496664898867,0.0615538592618812,0.001523598093615607,0.8260948363699737,0.0037187198847365177,5
moe_retention,0.0625915594110844,0.00538973500284169,0.018880235571763066,0.005126175080651215,0.9454259099660559,0.011403807824253388,5
chosen_softmax(s3),0.11966780057273856,0.0027085407797277357,0.07595647673341721,0.0009743970574312052,0.779668324341864,0.0070503835164733904,5
