seed,scorer,n_test,test_acc,AURC,E_AURC,AUROC
42,learned_self_eval(ASPIRE-style),1328,0.7198795180722891,0.10400617988949444,0.06038408379933194,0.830285238673685
42,moe_retention,1328,0.7198795180722891,0.05473526199376835,0.011113165903605851,0.9629645251270977
42,chosen_softmax(s3),1328,0.7198795180722891,0.1184785175591602,0.0748564214689977,0.7888885139694966
123,learned_self_eval(ASPIRE-style),1328,0.733433734939759,0.09966943625785647,0.06038051615936357,0.820000812074386
123,moe_retention,1328,0.733433734939759,0.06318216807584259,0.023893247977349694,0.9318118539658233
123,chosen_softmax(s3),1328,0.733433734939759,0.11504148998908342,0.07575256989059052,0.7670448613092959
456,learned_self_eval(ASPIRE-style),1328,0.7108433734939759,0.10748341503137178,0.06083104460247844,0.8291263903601696
456,moe_retention,1328,0.7108433734939759,0.06812041407305434,0.02146804364416101,0.9401124426200564
456,chosen_softmax(s3),1328,0.7108433734939759,0.12177236218638887,0.07511999175749554,0.7810651703742939
789,learned_self_eval(ASPIRE-style),1328,0.7191265060240963,0.10830602075036566,0.06443575374191263,0.8240107800064568
789,moe_retention,1328,0.7191265060240963,0.0584053024264448,0.014535035417991775,0.9541232121050489
789,chosen_softmax(s3),1328,0.7191265060240963,0.12039443142928027,0.07652416442082724,0.780346139269823
999,learned_self_eval(ASPIRE-style),1328,0.7153614457831325,0.10686086357692433,0.06173789800631943,0.8270509607351713
999,moe_retention,1328,0.7153614457831325,0.0685146504863119,0.023391684915707006,0.9381175160122529
999,chosen_softmax(s3),1328,0.7153614457831325,0.12265220169977999,0.07752923612917509,0.7809969367864106
