system,n_seeds,condition_accuracy_mean,condition_accuracy_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
bow_unigram,5,0.9896084337349398,0.0032995334789467715,0.9948795180722891,0.002735828633220601,0.8680722891566265,0.010023832103791413,0.08343373493975904,0.009073717067103653
char_3_5gram,5,0.995933734939759,0.002746172067591913,0.9984939759036144,0.001506024096385561,0.8740963855421686,0.00925929286080685,0.07740963855421687,0.008358094533440727
char_wb_3_5gram,5,0.9890060240963855,0.0044739309570822295,0.9960843373493976,0.003122958035139705,0.8653614457831326,0.010786749746668657,0.08704819277108433,0.00936887410541915
word_1_2gram,5,0.9968373493975904,0.000981807591144951,0.997289156626506,0.0006735144510541619,0.878012048192771,0.008179804586747155,0.07349397590361445,0.007175379066006985
