seed,system,score_key,target_risk,tau,validation_coverage,validation_selective_risk,coverage,selective_risk,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,chosen_softmax_risk_control,chosen_softmax,0.05,0.99,0.24924698795180722,0.03927492447129909,0.2469879518072289,0.042682926829268296,1328,664,664,0.9819277108433735,0.4427710843373494,1.0,0.07796610169491536,0.5557228915662651,0.0
42,chosen_softmax_risk_control,chosen_softmax,0.1,0.9,0.4713855421686747,0.09744408945686901,0.46536144578313254,0.09870550161812297,1328,664,664,0.9262048192771084,0.6566265060240963,0.7551020408163265,0.08597285067873295,0.33433734939759036,0.0
42,chosen_softmax_risk_control,chosen_softmax,0.15,0.73,0.6445783132530121,0.1483644859813084,0.6483433734939759,0.148664343786295,1328,664,664,0.8403614457831325,0.7635542168674698,0.5660377358490567,0.09514563106796126,0.22439759036144577,0.0
42,chosen_softmax_risk_control,chosen_softmax,0.2,0.6,0.7778614457831325,0.1936108422071636,0.7808734939759037,0.19479267116682739,1328,664,664,0.7545180722891566,0.8207831325301205,0.4478527607361964,0.06834532374100721,0.16265060240963855,0.0
42,max_softmax_risk_control,max_softmax,0.05,0.99,0.24924698795180722,0.03927492447129909,0.2469879518072289,0.042682926829268296,1328,664,664,0.9819277108433735,0.4427710843373494,1.0,0.07796610169491536,0.5557228915662651,0.0
42,max_softmax_risk_control,max_softmax,0.1,0.9,0.4713855421686747,0.09744408945686901,0.46536144578313254,0.09870550161812297,1328,664,664,0.9262048192771084,0.6566265060240963,0.7551020408163265,0.08597285067873295,0.33433734939759036,0.0
42,max_softmax_risk_control,max_softmax,0.15,0.73,0.6445783132530121,0.1483644859813084,0.6483433734939759,0.148664343786295,1328,664,664,0.8403614457831325,0.7635542168674698,0.5660377358490567,0.09514563106796126,0.22439759036144577,0.0
42,max_softmax_risk_control,max_softmax,0.2,0.6,0.7778614457831325,0.1936108422071636,0.7808734939759037,0.19479267116682739,1328,664,664,0.7545180722891566,0.8207831325301205,0.4478527607361964,0.06834532374100721,0.16265060240963855,0.0
42,unknown_inverse_risk_control,unknown_inverse,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
42,unknown_inverse_risk_control,unknown_inverse,0.1,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
42,unknown_inverse_risk_control,unknown_inverse,0.15,0.98,0.3667168674698795,0.14168377823408623,0.3855421686746988,0.142578125,1328,664,664,0.9006024096385542,0.661144578313253,0.5757575757575757,0.07623318385650224,0.32831325301204817,0.0
42,unknown_inverse_risk_control,unknown_inverse,0.2,0.93,0.45256024096385544,0.19633943427620631,0.463855421686747,0.2012987012987013,1328,664,664,0.8313253012048193,0.7409638554216867,0.4464285714285714,0.059523809523809534,0.24096385542168675,0.0
123,chosen_softmax_risk_control,chosen_softmax,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
123,chosen_softmax_risk_control,chosen_softmax,0.1,0.93,0.4141566265060241,0.1,0.40737951807228917,0.08687615526802218,1328,664,664,0.9412650602409639,0.6009036144578314,0.7948717948717949,0.00995024875621886,0.39457831325301207,0.0
123,chosen_softmax_risk_control,chosen_softmax,0.15,0.75,0.6204819277108434,0.14927184466019416,0.6385542168674698,0.14504716981132076,1328,664,664,0.8478915662650602,0.7484939759036144,0.7029702970297029,0.04158415841584162,0.2394578313253012,0.0
123,chosen_softmax_risk_control,chosen_softmax,0.2,0.62,0.7567771084337349,0.19701492537313434,0.7575301204819277,0.18886679920477137,1328,664,664,0.7710843373493976,0.7996987951807228,0.5921052631578947,0.04220183486238538,0.17921686746987953,0.0
123,max_softmax_risk_control,max_softmax,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
123,max_softmax_risk_control,max_softmax,0.1,0.93,0.4141566265060241,0.1,0.40737951807228917,0.08687615526802218,1328,664,664,0.9412650602409639,0.6009036144578314,0.7948717948717949,0.00995024875621886,0.39457831325301207,0.0
123,max_softmax_risk_control,max_softmax,0.15,0.75,0.6204819277108434,0.14927184466019416,0.6385542168674698,0.14504716981132076,1328,664,664,0.8478915662650602,0.7484939759036144,0.7029702970297029,0.04158415841584162,0.2394578313253012,0.0
123,max_softmax_risk_control,max_softmax,0.2,0.62,0.7567771084337349,0.19701492537313434,0.7575301204819277,0.18886679920477137,1328,664,664,0.7710843373493976,0.7996987951807228,0.5921052631578947,0.04220183486238538,0.17921686746987953,0.0
123,unknown_inverse_risk_control,unknown_inverse,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
123,unknown_inverse_risk_control,unknown_inverse,0.1,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
123,unknown_inverse_risk_control,unknown_inverse,0.15,0.99,0.3381024096385542,0.1447661469933185,0.3200301204819277,0.11058823529411765,1328,664,664,0.9427710843373494,0.5692771084337349,0.6842105263157894,0.012919896640826822,0.4171686746987952,0.0
123,unknown_inverse_risk_control,unknown_inverse,0.2,0.93,0.46762048192771083,0.1964573268921095,0.44051204819277107,0.20854700854700856,1328,664,664,0.8433734939759037,0.697289156626506,0.5,0.018711018711018657,0.2756024096385542,0.0
456,chosen_softmax_risk_control,chosen_softmax,0.05,0.98,0.30346385542168675,0.04962779156327544,0.2921686746987952,0.041237113402061855,1328,664,664,0.9774096385542169,0.5090361445783133,0.6000000000000001,0.09144542772861364,0.4894578313253012,0.0
456,chosen_softmax_risk_control,chosen_softmax,0.1,0.91,0.4457831325301205,0.09797297297297297,0.4314759036144578,0.09598603839441536,1328,664,664,0.9322289156626506,0.6325301204819277,0.7333333333333334,0.05910165484633567,0.3629518072289157,0.0
456,chosen_softmax_risk_control,chosen_softmax,0.15,0.73,0.6490963855421686,0.14501160092807425,0.6506024096385542,0.16087962962962962,1328,664,664,0.8283132530120482,0.7635542168674698,0.5964912280701755,0.058139534883721034,0.22289156626506024,0.0
456,chosen_softmax_risk_control,chosen_softmax,0.2,0.6,0.7853915662650602,0.1984659635666347,0.7756024096385542,0.21165048543689322,1328,664,664,0.7349397590361446,0.8087349397590361,0.5,0.05945945945945952,0.16415662650602408,0.0
456,max_softmax_risk_control,max_softmax,0.05,0.98,0.30346385542168675,0.04962779156327544,0.2921686746987952,0.041237113402061855,1328,664,664,0.9774096385542169,0.5090361445783133,0.6000000000000001,0.09144542772861364,0.4894578313253012,0.0
456,max_softmax_risk_control,max_softmax,0.1,0.91,0.4457831325301205,0.09797297297297297,0.4314759036144578,0.09598603839441536,1328,664,664,0.9322289156626506,0.6325301204819277,0.7333333333333334,0.05910165484633567,0.3629518072289157,0.0
456,max_softmax_risk_control,max_softmax,0.15,0.73,0.6490963855421686,0.14501160092807425,0.6506024096385542,0.16087962962962962,1328,664,664,0.8283132530120482,0.7635542168674698,0.5964912280701755,0.058139534883721034,0.22289156626506024,0.0
456,max_softmax_risk_control,max_softmax,0.2,0.6,0.7853915662650602,0.1984659635666347,0.7756024096385542,0.21165048543689322,1328,664,664,0.7349397590361446,0.8087349397590361,0.5,0.05945945945945952,0.16415662650602408,0.0
456,unknown_inverse_risk_control,unknown_inverse,0.05,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
456,unknown_inverse_risk_control,unknown_inverse,0.1,1.0,0.0,0.0,0.0,0.0,1328,664,664,1.0,0.0,,,1.0,0.0
456,unknown_inverse_risk_control,unknown_inverse,0.15,0.98,0.3697289156626506,0.14663951120162932,0.35918674698795183,0.13836477987421383,1328,664,664,0.9096385542168675,0.6189759036144579,0.46666666666666656,0.0695443645083933,0.37198795180722893,0.0
456,unknown_inverse_risk_control,unknown_inverse,0.2,0.94,0.4367469879518072,0.18620689655172415,0.4397590361445783,0.19863013698630136,1328,664,664,0.8463855421686747,0.7048192771084337,0.4901960784313726,0.04149377593361003,0.2740963855421687,0.0
789,chosen_softmax_risk_control,chosen_softmax,0.05,0.97,0.3230421686746988,0.04895104895104895,0.3411144578313253,0.07505518763796909,1328,664,664,0.9578313253012049,0.5496987951807228,0.7142857142857142,-0.008174386920980936,0.44728915662650603,0.0
