seed,encoder,feature_mode,condition_accuracy,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
42,sentence-transformers/all-MiniLM-L6-v2,raw_text_embedding_only,0.9924698795180723,1328,664,664,1.0,0.8704819277108434,,0.07413509060955525,0.0858433734939759,0.0
123,sentence-transformers/all-MiniLM-L6-v2,raw_text_embedding_only,0.9954819277108434,1328,664,664,0.9984939759036144,0.8810240963855421,-1.0,0.029032258064516148,0.06626506024096386,0.0
456,sentence-transformers/all-MiniLM-L6-v2,raw_text_embedding_only,0.9984939759036144,1328,664,664,1.0,0.8719879518072289,,0.04854368932038833,0.06927710843373494,0.0
789,sentence-transformers/all-MiniLM-L6-v2,raw_text_embedding_only,0.9977409638554217,1328,664,664,1.0,0.8900602409638554,,0.016181229773462702,0.06927710843373494,0.0
999,sentence-transformers/all-MiniLM-L6-v2,raw_text_embedding_only,0.9962349397590361,1328,664,664,0.9984939759036144,0.8734939759036144,1.0,0.08346972176759415,0.07981927710843373,0.0
42,sentence-transformers/all-mpnet-base-v2,raw_text_embedding_only,0.9969879518072289,1328,664,664,0.9969879518072289,0.8780120481927711,-1.0,0.08169934640522869,0.0783132530120482,0.0
123,sentence-transformers/all-mpnet-base-v2,raw_text_embedding_only,0.9977409638554217,1328,664,664,1.0,0.8795180722891566,,0.024232633279483107,0.0677710843373494,0.0
456,sentence-transformers/all-mpnet-base-v2,raw_text_embedding_only,0.9984939759036144,1328,664,664,1.0,0.8704819277108434,,0.04700162074554304,0.07078313253012049,0.0
789,sentence-transformers/all-mpnet-base-v2,raw_text_embedding_only,0.9969879518072289,1328,664,664,1.0,0.8855421686746988,,0.01788617886178856,0.07379518072289157,0.0
999,sentence-transformers/all-mpnet-base-v2,raw_text_embedding_only,0.9984939759036144,1328,664,664,0.9969879518072289,0.8734939759036144,0.0,0.08346972176759415,0.07981927710843373,0.0
42,sentence-transformers/paraphrase-MiniLM-L3-v2,raw_text_embedding_only,0.9939759036144579,1328,664,664,0.9984939759036144,0.8719879518072289,-1.0,0.08223684210526305,0.08433734939759036,0.0
123,sentence-transformers/paraphrase-MiniLM-L3-v2,raw_text_embedding_only,0.9864457831325302,1328,664,664,0.9939759036144579,0.8689759036144579,0.0,0.02941176470588225,0.0783132530120482,0.0
456,sentence-transformers/paraphrase-MiniLM-L3-v2,raw_text_embedding_only,0.9962349397590361,1328,664,664,0.9954819277108434,0.8719879518072289,0.33333333333333326,0.050243111831442366,0.07078313253012049,0.0
789,sentence-transformers/paraphrase-MiniLM-L3-v2,raw_text_embedding_only,0.9954819277108434,1328,664,664,0.9969879518072289,0.8885542168674698,1.0,0.014586709886547755,0.07078313253012049,0.0
999,sentence-transformers/paraphrase-MiniLM-L3-v2,raw_text_embedding_only,0.9887048192771084,1328,664,664,0.9954819277108434,0.8599397590361446,0.33333333333333326,0.0830564784053156,0.09337349397590361,0.0
