encoder,n_seeds,condition_accuracy_mean,condition_accuracy_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
sentence-transformers/all-MiniLM-L6-v2,5,0.9960843373493976,0.0023452426961441714,0.9993975903614458,0.0008248833697367062,0.8774096385542168,0.008152029278749593,0.07409638554216867,0.008344515166984978
sentence-transformers/all-mpnet-base-v2,5,0.9977409638554217,0.0007530120481927804,0.9987951807228915,0.0016497667394734124,0.8774096385542168,0.005793790380021479,0.07409638554216867,0.005040120641771538
sentence-transformers/paraphrase-MiniLM-L3-v2,5,0.9921686746987952,0.004345342785016109,0.9960843373493976,0.0017171316643058985,0.872289156626506,0.010346725323685309,0.07951807228915662,0.009607914402250946
