system_fraction,n_seeds,condition_accuracy_mean,condition_accuracy_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
single_prompt_embedding_condition_only@0.01,5,0.7427710843373494,0.02027267309694436,0.8846385542168674,0.01603049288040381,0.6397590361445783,0.040514567485603344,0.3283132530120482,0.04279600071802053
single_prompt_embedding_condition_only@0.05,5,0.9191265060240964,0.012939981291981918,0.9626506024096385,0.010401383523995196,0.808433734939759,0.015845492093448973,0.14819277108433734,0.017646849800520514
single_prompt_embedding_condition_only@0.10,5,0.9506024096385542,0.009518977766903929,0.9819277108433735,0.005929222796695637,0.8352409638554217,0.015195178621240276,0.11957831325301205,0.014390215886254528
single_prompt_embedding_condition_only@1.00,5,0.9960843373493976,0.0023452426961441714,0.9993975903614458,0.0008248833697367062,0.8774096385542168,0.008152029278749593,0.07409638554216867,0.008344515166984978
