cluster,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
cultural,0.7,0.9066666666666666,0.96,0.8933333333333333,0.0,0.10666666666666667,300
identity,0.7,0.6721052631578947,0.9366666666666666,0.7733333333333333,0.1578947368421053,0.21333333333333335,600
lexical,0.7,0.3383333333333334,0.9733333333333334,0.7133333333333334,0.5,0.27,600
numerical,0.4,0.13935897435897437,0.87,0.8833333333333333,0.6923076923076923,0.07666666666666666,600
