tau,acc_amb,acc_dis,bias_amb,bias_dis,far,n_kept,n_overridden,parse_fail_rate
0.3,0.82,0.86,0.40740740740740744,0.0031813361611876534,0.1019047619047619,1778,322,0.0
0.4,0.8742857142857143,0.8514285714285714,0.43939393939393945,-0.007600434310532034,0.12285714285714286,1681,419,0.0
0.5,0.9123809523809524,0.8371428571428572,0.3913043478260869,-0.006651884700665134,0.14095238095238094,1607,493,0.0
0.6,0.9447619047619048,0.8180952380952381,0.4137931034482758,-0.006833712984054663,0.16380952380952382,1512,588,0.0
0.7,0.9628571428571429,0.7857142857142857,0.33333333333333326,-0.004773269689737458,0.2019047619047619,1407,693,0.0
