category,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
Age,0.5,0.0955555555555556,0.94,0.8133333333333334,0.7777777777777777,0.13333333333333333,300
Disability_status,0.7,0.5533333333333333,0.98,0.8066666666666666,0.33333333333333326,0.18666666666666668,300
Gender_identity,0.7,0.25333333333333324,0.9666666666666667,0.7533333333333333,0.6000000000000001,0.22666666666666666,300
Race_ethnicity,0.7,0.9066666666666666,0.96,0.8933333333333333,0.0,0.10666666666666667,300
Religion,0.7,0.49000000000000005,0.98,0.6733333333333333,0.33333333333333326,0.31333333333333335,300
SES,0.3,0.30000000000000004,0.8133333333333334,0.96,0.5,0.02666666666666667,300
Sexual_orientation,0.6,0.6755555555555555,0.88,0.7933333333333333,0.11111111111111116,0.18666666666666668,300
