system,subset,n_seeds,n_total_mean,n_total_std,n_shared_min,n_missing_max,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,bias_abs_amb_mean,bias_abs_amb_std,false_abstention_rate_mean,false_abstention_rate_std
composite,shared_test,5,1328.0,0.0,1328.0,0.0,0.6843373493975904,0.01382756497727474,0.2855421686746988,0.010891376344436465,0.06603218047445054,0.028006725419710554,0.24487951807228914,0.016449478820377287
decap,shared_test,5,1328.0,0.0,1328.0,0.0,0.805722891566265,0.005533485864721005,0.7237951807228915,0.0074999395168606885,0.46288354981268365,0.08798817000997806,0.2418674698795181,0.009380970784576765
fairsteer,shared_test,5,1285.8,4.764451699828639,1279.0,49.0,0.8513240467494636,0.006933467533163017,0.7184656443089205,0.013134415015199762,0.5532038804880116,0.08680237848727937,0.2591280031003083,0.012879523143286544
mpt,shared_test,5,196.4,11.631852818876277,181.0,1147.0,0.3149735141581385,0.06192903527459709,0.3290051636367426,0.02915607245875848,0.13624023599570717,0.051198495961793176,0.33854451096556365,0.059444247489420655
ours_per_condition_oracle,full_test,5,1328.0,0.0,,,0.9951807228915662,0.006154462874006771,0.8756024096385542,0.009678475309072058,0.7037037037037037,0.5132002392796673,0.0819277108433735,0.015527393275640969
ours_predicted_condition,full_test,5,1328.0,0.0,,,0.9936746987951807,0.0073317237618301416,0.8753012048192771,0.009783362511392594,0.7444444444444445,0.3777777777777778,0.0822289156626506,0.015708921458319636
ours_single_tau,full_test,5,1328.0,0.0,,,0.95,0.012482750472953082,0.841566265060241,0.004690485392288397,0.325730407523511,0.11069707775881597,0.1325301204819277,0.0073779811529613845
self_debiasing,shared_test,5,1328.0,0.0,1328.0,0.0,0.9584337349397589,0.007796493437075176,0.1927710843373494,0.01106697172944207,0.2109060057589469,0.10552247024702513,0.7858433734939758,0.008276284134960303
