seed,system,n_test,accuracy_amb,accuracy_dis,false_abstention_rate
42,condition_only_predicted,1328,1.0,0.875,0.08132530120481928
123,condition_only_predicted,1328,0.9984939759036144,0.8795180722891566,0.0677710843373494
456,condition_only_predicted,1328,1.0,0.8734939759036144,0.0677710843373494
789,condition_only_predicted,1328,1.0,0.891566265060241,0.0677710843373494
999,condition_only_predicted,1328,0.9984939759036144,0.8734939759036144,0.07981927710843373
mean,condition_only_predicted,1328,0.9993975903614458,0.8786144578313252,0.07289156626506024
sample_std,condition_only_predicted,1328,0.0008248833697367062,0.007649653674217043,0.007031697307185995
