cluster,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
cultural,0.7,0.6960870313037496,0.9058823529411765,0.8128654970760234,-0.125,0.1695906432748538,341
identity,0.7,0.7325124151211108,0.882051282051282,0.7424242424242424,0.04347826086956519,0.21212121212121213,393
lexical,0.7,0.6571711010088515,0.8785529715762274,0.6067708333333334,0.06382978723404253,0.3151041666666667,771
numerical,0.7,0.7875897559845716,0.9423728813559322,0.7676767676767676,0.05882352941176472,0.1919191919191919,592
