category,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
Age,0.7,0.7163890672407498,0.9337349397590361,0.6896551724137931,0.09090909090909083,0.25287356321839083,340
Disability_status,0.7,0.7889087656529518,0.8974358974358975,0.7131782945736435,0.0,0.21705426356589147,246
Gender_identity,0.5,0.6098873348873349,0.8358974358974359,0.696969696969697,0.125,0.20202020202020202,393
Race_ethnicity,0.7,0.6960870313037496,0.9058823529411765,0.8128654970760234,-0.125,0.1695906432748538,341
Religion,0.7,0.4651497695852535,0.8541666666666666,0.5645161290322581,0.2142857142857142,0.34946236559139787,378
SES,0.7,0.9006428436377387,0.9534883720930233,0.8780487804878049,0.0,0.10569105691056911,252
Sexual_orientation,0.7,0.6666159927029492,0.8589743589743589,0.7971014492753623,0.09090909090909083,0.2028985507246377,147
