system,subset,n_seeds,n_total_mean,n_total_std,n_shared_min,n_missing_max,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,bias_abs_amb_mean,bias_abs_amb_std,false_abstention_rate_mean,false_abstention_rate_std
composite,shared_test,5,1328.0,0.0,1328.0,0.0,0.6843373493975904,0.01382756497727474,0.2855421686746988,0.010891376344436465,0.06603218047445054,0.028006725419710554,0.24487951807228914,0.016449478820377287
decap,shared_test,5,1328.0,0.0,1328.0,0.0,0.805722891566265,0.005533485864721005,0.7237951807228915,0.0074999395168606885,0.46288354981268365,0.08798817000997806,0.2418674698795181,0.009380970784576765
fairsteer,shared_test,5,1285.8,4.764451699828639,1279.0,49.0,0.8513240467494636,0.006933467533163017,0.7184656443089205,0.013134415015199762,0.5532038804880116,0.08680237848727937,0.2591280031003083,0.012879523143286544
mpt,shared_test,5,196.4,11.631852818876277,181.0,1147.0,0.3149735141581385,0.06192903527459709,0.3290051636367426,0.02915607245875848,0.13624023599570717,0.051198495961793176,0.33854451096556365,0.059444247489420655
ours_per_condition_oracle,full_test,5,1328.0,0.0,,,0.9948795180722891,0.004714601157379073,0.8756024096385542,0.009073717067103627,0.6444444444444445,0.3355481971231445,0.08072289156626507,0.014231728499912588
ours_predicted_condition,full_test,5,1328.0,0.0,,,0.994277108433735,0.004567997255452738,0.8753012048192771,0.009489146989170678,0.75,0.3191423692521127,0.08102409638554217,0.014732888073970602
ours_single_tau,full_test,5,1328.0,0.0,,,0.9587349397590362,0.012076397708873152,0.8337349397590362,0.016483913605436305,0.37817838010535787,0.13555159858598614,0.13975903614457832,0.02106819519772717
self_debiasing,shared_test,5,1328.0,0.0,1328.0,0.0,0.9584337349397589,0.007796493437075176,0.1927710843373494,0.01106697172944207,0.2109060057589469,0.10552247024702513,0.7858433734939758,0.008276284134960303
