seed,tau_amb,tau_dis,split,score,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_abs_amb,false_abstention_rate
42,0.875,0.0,val,0.9465361445783133,1328,1.0,0.8930722891566265,,,0.05572289156626506
42,0.875,0.0,test,0.9344879518072289,1328,0.9909638554216867,0.8780120481927711,0.33333333333333326,0.33333333333333326,0.0783132530120482
42,0.875,0.01,val,0.9457831325301205,1328,1.0,0.891566265060241,,,0.0572289156626506
42,0.875,0.01,test,0.9344879518072289,1328,0.9909638554216867,0.8780120481927711,0.33333333333333326,0.33333333333333326,0.08283132530120482
42,0.875,0.02,val,0.9442771084337349,1328,1.0,0.8885542168674698,,,0.06626506024096386
42,0.875,0.02,test,0.9329819277108433,1328,0.9909638554216867,0.875,0.33333333333333326,0.33333333333333326,0.0858433734939759
42,0.875,0.03,val,0.9435240963855422,1328,1.0,0.8870481927710844,,,0.0677710843373494
42,0.875,0.03,test,0.9314759036144578,1328,0.9909638554216867,0.8719879518072289,0.33333333333333326,0.33333333333333326,0.08885542168674698
42,0.875,0.04,val,0.9427710843373494,1328,1.0,0.8855421686746988,,,0.07078313253012049
42,0.875,0.04,test,0.9299698795180723,1328,0.9909638554216867,0.8689759036144579,0.33333333333333326,0.33333333333333326,0.0963855421686747
42,0.875,0.05,val,0.9427710843373494,1328,1.0,0.8855421686746988,,,0.07078313253012049
42,0.875,0.05,test,0.9284638554216867,1328,0.9909638554216867,0.8659638554216867,0.33333333333333326,0.33333333333333326,0.09939759036144578
42,0.875,0.06,val,0.9427710843373494,1328,1.0,0.8855421686746988,,,0.07228915662650602
42,0.875,0.06,test,0.927710843373494,1328,0.9909638554216867,0.8644578313253012,0.33333333333333326,0.33333333333333326,0.10240963855421686
42,0.875,0.07,val,0.9427710843373494,1328,1.0,0.8855421686746988,,,0.07379518072289157
42,0.875,0.07,test,0.9254518072289157,1328,0.9909638554216867,0.8599397590361446,0.33333333333333326,0.33333333333333326,0.10843373493975904
42,0.875,0.08,val,0.9420180722891567,1328,1.0,0.8840361445783133,,,0.07530120481927711
42,0.875,0.08,test,0.9239457831325302,1328,0.9909638554216867,0.8569277108433735,0.33333333333333326,0.33333333333333326,0.1144578313253012
42,0.875,0.09,val,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.07680722891566265
42,0.875,0.09,test,0.9239457831325302,1328,0.9909638554216867,0.8569277108433735,0.33333333333333326,0.33333333333333326,0.1144578313253012
42,0.875,0.1,val,0.9405120481927711,1328,1.0,0.8810240963855421,,,0.0783132530120482
42,0.875,0.1,test,0.9239457831325302,1328,0.9909638554216867,0.8569277108433735,0.33333333333333326,0.33333333333333326,0.1144578313253012
123,0.95,0.0,val,0.9405120481927711,1328,0.9984939759036144,0.8825301204819277,1.0,1.0,0.05271084337349398
123,0.95,0.0,test,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.06475903614457831
123,0.95,0.01,val,0.9397590361445782,1328,0.9984939759036144,0.8810240963855421,1.0,1.0,0.05421686746987952
123,0.95,0.01,test,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.06475903614457831
123,0.95,0.02,val,0.9397590361445782,1328,0.9984939759036144,0.8810240963855421,1.0,1.0,0.05421686746987952
123,0.95,0.02,test,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.06475903614457831
123,0.95,0.03,val,0.9397590361445782,1328,0.9984939759036144,0.8810240963855421,1.0,1.0,0.05421686746987952
123,0.95,0.03,test,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.06475903614457831
123,0.95,0.04,val,0.9397590361445782,1328,0.9984939759036144,0.8810240963855421,1.0,1.0,0.05421686746987952
123,0.95,0.04,test,0.9412650602409638,1328,1.0,0.8825301204819277,,,0.06475903614457831
123,0.95,0.05,val,0.9397590361445782,1328,0.9984939759036144,0.8810240963855421,1.0,1.0,0.05572289156626506
123,0.95,0.05,test,0.9405120481927711,1328,1.0,0.8810240963855421,,,0.06626506024096386
123,0.95,0.06,val,0.9390060240963856,1328,0.9984939759036144,0.8795180722891566,1.0,1.0,0.0572289156626506
123,0.95,0.06,test,0.9405120481927711,1328,1.0,0.8810240963855421,,,0.06626506024096386
123,0.95,0.07,val,0.9390060240963856,1328,0.9984939759036144,0.8795180722891566,1.0,1.0,0.0572289156626506
123,0.95,0.07,test,0.9405120481927711,1328,1.0,0.8810240963855421,,,0.0677710843373494
123,0.95,0.08,val,0.9382530120481928,1328,0.9984939759036144,0.8780120481927711,1.0,1.0,0.058734939759036146
123,0.95,0.08,test,0.9397590361445782,1328,1.0,0.8795180722891566,,,0.06927710843373494
123,0.95,0.09,val,0.9375,1328,0.9984939759036144,0.8765060240963856,1.0,1.0,0.06325301204819277
123,0.95,0.09,test,0.9397590361445782,1328,1.0,0.8795180722891566,,,0.07078313253012049
123,0.95,0.1,val,0.9367469879518072,1328,0.9984939759036144,0.875,1.0,1.0,0.06475903614457831
123,0.95,0.1,test,0.9390060240963856,1328,1.0,0.8780120481927711,,,0.07228915662650602
456,0.95,0.0,val,0.9367469879518073,1328,0.9954819277108434,0.8780120481927711,1.0,1.0,0.058734939759036146
456,0.95,0.0,test,0.9367469879518072,1328,1.0,0.8734939759036144,,,0.0677710843373494
456,0.95,0.01,val,0.9359939759036144,1328,0.9954819277108434,0.8765060240963856,1.0,1.0,0.061746987951807226
456,0.95,0.01,test,0.9367469879518072,1328,1.0,0.8734939759036144,,,0.0677710843373494
456,0.95,0.02,val,0.9359939759036144,1328,0.9954819277108434,0.8765060240963856,1.0,1.0,0.061746987951807226
456,0.95,0.02,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.06927710843373494
456,0.95,0.03,val,0.9359939759036144,1328,0.9954819277108434,0.8765060240963856,1.0,1.0,0.061746987951807226
456,0.95,0.03,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.06927710843373494
456,0.95,0.04,val,0.9359939759036144,1328,0.9954819277108434,0.8765060240963856,1.0,1.0,0.06475903614457831
456,0.95,0.04,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07078313253012049
456,0.95,0.05,val,0.9359939759036144,1328,0.9954819277108434,0.8765060240963856,1.0,1.0,0.06626506024096386
456,0.95,0.05,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07078313253012049
456,0.95,0.06,val,0.9344879518072289,1328,0.9954819277108434,0.8734939759036144,1.0,1.0,0.07078313253012049
456,0.95,0.06,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07228915662650602
456,0.95,0.07,val,0.9329819277108434,1328,0.9954819277108434,0.8704819277108434,1.0,1.0,0.07379518072289157
456,0.95,0.07,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07228915662650602
456,0.95,0.08,val,0.9329819277108434,1328,0.9954819277108434,0.8704819277108434,1.0,1.0,0.07379518072289157
456,0.95,0.08,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07228915662650602
456,0.95,0.09,val,0.9329819277108434,1328,0.9954819277108434,0.8704819277108434,1.0,1.0,0.07530120481927711
456,0.95,0.09,test,0.9359939759036144,1328,1.0,0.8719879518072289,,,0.07379518072289157
456,0.95,0.1,val,0.9329819277108434,1328,0.9954819277108434,0.8704819277108434,1.0,1.0,0.07530120481927711
456,0.95,0.1,test,0.9344879518072289,1328,1.0,0.8689759036144579,,,0.07680722891566265
789,0.925,0.0,val,0.9329819277108433,1328,0.9969879518072289,0.8689759036144579,1.0,1.0,0.07530120481927711
789,0.925,0.0,test,0.9412650602409638,1328,0.9909638554216867,0.891566265060241,1.0,1.0,0.0677710843373494
789,0.925,0.01,val,0.9314759036144578,1328,0.9969879518072289,0.8659638554216867,1.0,1.0,0.07981927710843373
