artifact_schema_version,inference_scope,p_value_method,seed,frac,metric,delta,ci_lo,ci_hi,p_two_sided
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.01,acc_amb,0.08584337349397586,0.05801472875637126,0.11463046757164397,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.01,acc_dis,0.10240963855421692,0.07621951219512202,0.129221958658082,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.01,far,-0.0993975903614458,-0.12737991432134918,-0.07208588957055215,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.05,acc_amb,0.004518072289156683,-0.008915304606240682,0.017460490746516885,0.5869413058694131
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.05,acc_dis,0.04969879518072284,0.03221077841353101,0.06845238095238093,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.05,far,-0.052710843373493965,-0.0719779120621387,-0.034920634920634935,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.1,acc_amb,0.004518072289156683,-0.006230529595015577,0.016155742376000506,0.5155484451554845
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.1,acc_dis,0.0406626506024097,0.02442748091603053,0.057637543566577604,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,42,0.1,far,-0.037650602409638564,-0.05523405066313972,-0.02074074074074074,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.01,acc_amb,0.0737951807228916,0.04962376872413589,0.09883720930232553,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.01,acc_dis,0.10692771084337349,0.07936507936507942,0.13535083998553668,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.01,far,-0.10692771084337349,-0.13694326144667598,-0.07819548872180451,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.05,acc_amb,0.009036144578313254,-0.002976301362571951,0.0213089802130898,0.1655834416558344
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.05,acc_dis,0.04367469879518071,0.02706456456456451,0.06160475427422967,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,123,0.05,far,-0.040662650602409645,-0.06000073206442168,-0.0228310502283105,0.00019998000199980003
