artifact_schema_version,inference_scope,p_value_method,seed,frac,metric,delta,ci_lo,ci_hi,p_two_sided
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.05,acc_dis,0.034638554216867457,0.015336836122098019,0.05413533834586459,0.00039996000399960006
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.05,far,-0.03463855421686747,-0.0549777117384844,-0.014704804209073677,0.0005999400059994001
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.1,acc_amb,0.009036144578313254,-0.0015337423312883347,0.020261000020319248,0.13038696130386962
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.1,acc_dis,0.02259036144578319,0.010129880043164364,0.036418816388467334,0.0007999200079992001
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,789,0.1,far,-0.019578313253012042,-0.03476890072236527,-0.005722256284488047,0.0093990600939906
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.01,acc_amb,0.04367469879518071,0.02391551940818603,0.06456456456456461,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.01,acc_dis,0.15662650602409633,0.12719234864618198,0.18656716417910446,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.01,far,-0.1506024096385542,-0.1816933418693982,-0.11890164625086076,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.05,acc_amb,0.010542168674698815,0.0014858841010401136,0.020895522388059695,0.037196280371962806
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.05,acc_dis,0.03915662650602403,0.023088023088023046,0.05625115740740741,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.05,far,-0.037650602409638564,-0.05513016845329248,-0.020319303338171252,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.1,acc_amb,0.009036144578313254,0.0,0.01928783382789323,0.0715928407159284
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.1,acc_dis,0.031626506024096446,0.018376722817764146,0.04599406528189909,0.00019998000199980003
2,approximate_reconstruction_sensitivity_only,paired_bootstrap_tail_mass_add_one,999,0.1,far,-0.028614457831325296,-0.04427576758713227,-0.013782542113323124,0.00019998000199980003
