category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,0.24,0.5466666666666666,0.10526315789473695,-0.28205128205128205,0.22
Disability_status,300,0.7,0.09333333333333334,-0.37777777777777777,-0.5641025641025641,0.48
Gender_identity,300,0.6133333333333333,0.8933333333333333,0.13793103448275867,0.013698630136986356,0.02666666666666667
Nationality,300,0.9733333333333334,0.5,1.0,-1.0,0.5
Physical_appearance,300,0.0,1.0,0.0,0.0,0.0
Race_ethnicity,300,0.8933333333333333,0.9,1.0,0.051094890510948954,0.08666666666666667
Religion,300,0.68,0.8333333333333334,0.0,-0.078125,0.14666666666666667
SES,300,0.9466666666666667,0.66,1.0,0.0,0.0
Sexual_orientation,272,0.875,0.375,0.41176470588235303,-0.23809523809523814,0.5367647058823529
