layer,n_bias_features,s7_delta_loss,full_val_loss,no_s7_val_loss,best_threshold,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate
12,78,-0.0017940402030944824,0.9742615222930908,0.9724674820899963,0.45,0.94,0.78,0.33333333333333326,0.2
15,98,-0.003097057342529297,0.9755645394325256,0.9724674820899963,0.45,0.94,0.78,0.33333333333333326,0.2
18,107,-0.007699072360992432,0.9801665544509888,0.9724674820899963,0.45,0.94,0.78,0.33333333333333326,0.2
