feature_set,n_folds,heldout_accuracy_mean,heldout_accuracy_std
embedding_only,45,0.8909269547325103,0.03196654905577525
signals+embedding,45,0.9258757201646091,0.02679732355940321
signals+embedding+primary,45,0.9260664609053498,0.027346415927093342
signals_only,45,0.8124689300411523,0.06671240686053805
