variant,n_seeds,signals_kept,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
all_zero_moe,5,<none>,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
core4_s1346_moe,5,"s1_evidence,s3_confidence,s4_consistency,s6_prompt_sensitivity",0.9987951807228915,0.002694057804216598,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
s3_only_moe,5,s3_confidence,0.9984939759036144,0.001506024096385561,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
