system,n_seeds,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
condition_only_embedding,5,0.9993975903614458,0.0008248833697367062,0.8774096385542168,0.008152029278749593,0.07409638554216867,0.008344515166984978
condition_only_full_features,5,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
condition_only_signals_embedding,5,0.9993975903614458,0.0008248833697367062,0.8789156626506024,0.00786888582988743,0.07259036144578312,0.006684440066618112
primary_answer_only,5,0.5596385542168675,0.015157816433838716,0.8798192771084338,0.007560180962657307,0.0716867469879518,0.006868526657223722
s3_only_predicted_condition,5,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
