tau,acc_amb,acc_dis,bias_amb,bias_dis,far,n_kept,n_overridden,parse_fail_rate
0.3,0.8269230769230769,0.8516483516483516,0.26984126984126977,-0.012422360248447228,0.11538461538461539,624,104,0.0
0.4,0.8818681318681318,0.8461538461538461,0.34883720930232553,-0.025316455696202556,0.13186813186813187,592,136,0.0
0.5,0.9175824175824175,0.8269230769230769,0.19999999999999996,-0.016286644951140072,0.1565934065934066,566,162,0.0
0.6,0.9587912087912088,0.8214285714285714,0.19999999999999996,-0.01650165016501648,0.16758241758241757,534,194,0.0
0.7,0.9752747252747253,0.7774725274725275,-0.11111111111111116,-0.010526315789473717,0.21703296703296704,491,237,0.0
