category,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
Age,0.5,0.33653846153846156,0.9230769230769231,0.8076923076923077,0.5,0.17307692307692307,104
Disability_status,0.6,0.5320512820512822,0.9423076923076923,0.8461538461538461,0.33333333333333326,0.15384615384615385,104
Gender_identity,0.3,0.21367521367521358,0.8269230769230769,0.7884615384615384,0.5555555555555556,0.11538461538461539,104
Race_ethnicity,0.6,0.3653846153846154,0.9230769230769231,0.8846153846153846,-0.5,0.11538461538461539,104
Religion,0.6,0.8653846153846154,1.0,0.7115384615384616,,0.2692307692307692,104
SES,0.6,0.9807692307692307,1.0,0.9615384615384616,,0.038461538461538464,104
Sexual_orientation,0.6,0.8365384615384616,0.9230769230769231,0.8076923076923077,0.0,0.17307692307692307,104
