cluster,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
cultural,0.6,0.3653846153846154,0.9230769230769231,0.8846153846153846,-0.5,0.11538461538461539,104
identity,0.6,0.7081043956043956,0.9326923076923077,0.8269230769230769,0.1428571428571428,0.16346153846153846,208
lexical,0.3,0.44070512820512825,0.8557692307692307,0.7596153846153846,0.33333333333333326,0.16346153846153846,208
numerical,0.5,0.5560897435897436,0.9423076923076923,0.8846153846153846,0.33333333333333326,0.10576923076923077,208
