transfer_setting,n_seeds,condition_accuracy_mean,condition_accuracy_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
main_to_mistral::embedding,5,0.9960843373493976,0.0023452426961441714,0.9993975903614458,0.0008248833697367062,0.7759036144578313,0.0034342633286118577,0.19006024096385543,0.010932946634265984
"main_to_mistral::signals,embedding,category,primary",5,0.5046686746987952,0.003587689533003487,1.0,0.0,0.008734939759036145,0.006512574792301101,0.9912650602409638,0.006512574792301111
"main_to_mistral::signals,primary",5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
main_to_qwen::embedding,5,0.9960843373493976,0.0023452426961441714,1.0,0.0,0.8105421686746987,0.014382332995558234,0.172289156626506,0.017256959651362914
"main_to_qwen::signals,embedding,category,primary",5,0.5406626506024097,0.007879687325473025,1.0,0.0,0.07771084337349397,0.015380628230947936,0.922289156626506,0.01538062823094791
"main_to_qwen::signals,primary",5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
