seed,system,score_key,target_risk,feature_mode,ambig_tau,disambig_tau,global_tau,condition_accuracy,global_coverage_at_fallback_tau,global_selective_risk_at_fallback_tau,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
123,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.1,"signals,embedding,category,primary",1.0,0.31,1.0,0.9977409638554217,0.0,0.0,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0
123,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.15,"signals,embedding,category,primary",1.0,0.0,0.99,0.9977409638554217,0.3200301204819277,0.11058823529411765,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0
123,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.2,"signals,embedding,category,primary",1.0,0.0,0.93,0.9977409638554217,0.44051204819277107,0.20854700854700856,1328,664,664,1.0,0.8810240963855421,,0.029032258064516148,0.06626506024096386,0.0
456,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.05,"signals,embedding,category,primary",1.0,0.72,0.98,0.9984939759036144,0.2921686746987952,0.041237113402061855,1328,664,664,1.0,0.7680722891566265,,0.06538461538461537,0.21686746987951808,0.0
456,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.1,"signals,embedding,category,primary",1.0,0.51,0.91,0.9984939759036144,0.4314759036144578,0.09598603839441536,1328,664,664,1.0,0.8448795180722891,,0.05621805792163537,0.11596385542168675,0.0
456,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.15,"signals,embedding,category,primary",1.0,0.34,0.73,0.9984939759036144,0.6506024096385542,0.16087962962962962,1328,664,664,1.0,0.8734939759036144,,0.0453074433656957,0.06927710843373494,0.0
456,condition_aware_chosen_softmax_risk_control,chosen_softmax,0.2,"signals,embedding,category,primary",1.0,0.34,0.6,0.9984939759036144,0.7756024096385542,0.21165048543689322,1328,664,664,1.0,0.8734939759036144,,0.0453074433656957,0.06927710843373494,0.0
456,condition_aware_max_softmax_risk_control,max_softmax,0.05,"signals,embedding,category,primary",1.0,0.72,0.98,0.9984939759036144,0.2921686746987952,0.041237113402061855,1328,664,664,1.0,0.7680722891566265,,0.06538461538461537,0.21686746987951808,0.0
456,condition_aware_max_softmax_risk_control,max_softmax,0.1,"signals,embedding,category,primary",1.0,0.51,0.91,0.9984939759036144,0.4314759036144578,0.09598603839441536,1328,664,664,1.0,0.8448795180722891,,0.05621805792163537,0.11596385542168675,0.0
456,condition_aware_max_softmax_risk_control,max_softmax,0.15,"signals,embedding,category,primary",1.0,0.35,0.73,0.9984939759036144,0.6506024096385542,0.16087962962962962,1328,664,664,1.0,0.8734939759036144,,0.0453074433656957,0.06927710843373494,0.0
456,condition_aware_max_softmax_risk_control,max_softmax,0.2,"signals,embedding,category,primary",1.0,0.35,0.6,0.9984939759036144,0.7756024096385542,0.21165048543689322,1328,664,664,1.0,0.8734939759036144,,0.0453074433656957,0.06927710843373494,0.0
456,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.05,"signals,embedding,category,primary",1.0,0.77,1.0,0.9984939759036144,0.0,0.0,1328,664,664,1.0,0.8192771084337349,,0.05902777777777768,0.13253012048192772,0.0
456,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.1,"signals,embedding,category,primary",1.0,0.29,1.0,0.9984939759036144,0.0,0.0,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0
456,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.15,"signals,embedding,category,primary",1.0,0.01,0.98,0.9984939759036144,0.35918674698795183,0.13836477987421383,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0
456,condition_aware_unknown_inverse_risk_control,unknown_inverse,0.2,"signals,embedding,category,primary",1.0,0.01,0.94,0.9984939759036144,0.4397590361445783,0.19863013698630136,1328,664,664,1.0,0.8734939759036144,,0.04684975767366728,0.0677710843373494,0.0
