system_target,n_seeds,condition_accuracy_mean,condition_accuracy_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
condition_aware_chosen_softmax_risk_control@0.05,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.7454819277108433,0.034441556102497814,0.2427710843373494,0.03475947985768451
condition_aware_chosen_softmax_risk_control@0.10,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8463855421686747,0.012999003389783185,0.11957831325301205,0.01675684463337485
condition_aware_chosen_softmax_risk_control@0.15,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8783132530120482,0.007331723761830164,0.07349397590361446,0.007331723761830169
condition_aware_chosen_softmax_risk_control@0.20,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8783132530120482,0.007331723761830164,0.07349397590361446,0.007331723761830169
condition_aware_max_softmax_risk_control@0.05,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.7454819277108433,0.034441556102497814,0.2427710843373494,0.03475947985768451
condition_aware_max_softmax_risk_control@0.10,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8463855421686747,0.012999003389783185,0.11957831325301205,0.01675684463337485
condition_aware_max_softmax_risk_control@0.15,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8783132530120482,0.007331723761830164,0.07349397590361446,0.007331723761830169
condition_aware_max_softmax_risk_control@0.20,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8783132530120482,0.007331723761830164,0.07349397590361446,0.007331723761830169
condition_aware_unknown_inverse_risk_control@0.05,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.766867469879518,0.06306807444980553,0.2033132530120482,0.07210852180647055
condition_aware_unknown_inverse_risk_control@0.10,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
condition_aware_unknown_inverse_risk_control@0.15,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
condition_aware_unknown_inverse_risk_control@0.20,5,0.9983433734939758,0.001116897362514421,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112
