scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
clean_uncertain_subset,456,0.7,hybrid_uncertain_signal_fallback,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.7,seven_signal_moe_predicted,5,0,5,0.0,0.8,,0.2,,
clean_uncertain_subset,456,0.8,primary_answer,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.8,simple_condition_only,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.8,hybrid_uncertain_signal_fallback,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.8,seven_signal_moe_predicted,6,0,6,0.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.9,primary_answer,16,4,12,0.25,0.6666666666666666,0.33333333333333326,0.16666666666666666,,
clean_uncertain_subset,456,0.9,simple_condition_only,16,4,12,1.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.9,hybrid_uncertain_signal_fallback,16,4,12,1.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,456,0.9,seven_signal_moe_predicted,16,4,12,1.0,0.6666666666666666,,0.16666666666666666,,
clean_uncertain_subset,789,0.55,primary_answer,0,0,0,,,,,,
clean_uncertain_subset,789,0.55,simple_condition_only,0,0,0,,,,,,
clean_uncertain_subset,789,0.55,hybrid_uncertain_signal_fallback,0,0,0,,,,,,
clean_uncertain_subset,789,0.55,seven_signal_moe_predicted,0,0,0,,,,,,
clean_uncertain_subset,789,0.6,primary_answer,2,1,1,1.0,1.0,,0.0,,
clean_uncertain_subset,789,0.6,simple_condition_only,2,1,1,1.0,1.0,,0.0,,
clean_uncertain_subset,789,0.6,hybrid_uncertain_signal_fallback,2,1,1,1.0,1.0,,0.0,,
clean_uncertain_subset,789,0.6,seven_signal_moe_predicted,2,1,1,1.0,1.0,,0.0,,
clean_uncertain_subset,789,0.7,primary_answer,7,3,4,0.3333333333333333,0.5,1.0,0.5,,
clean_uncertain_subset,789,0.7,simple_condition_only,7,3,4,1.0,0.5,,0.5,,
clean_uncertain_subset,789,0.7,hybrid_uncertain_signal_fallback,7,3,4,1.0,0.5,,0.5,,
clean_uncertain_subset,789,0.7,seven_signal_moe_predicted,7,3,4,1.0,0.5,,0.5,,
clean_uncertain_subset,789,0.8,primary_answer,8,3,5,0.3333333333333333,0.6,1.0,0.4,,
clean_uncertain_subset,789,0.8,simple_condition_only,8,3,5,1.0,0.4,,0.6,,
clean_uncertain_subset,789,0.8,hybrid_uncertain_signal_fallback,8,3,5,1.0,0.4,,0.6,,
clean_uncertain_subset,789,0.8,seven_signal_moe_predicted,8,3,5,1.0,0.6,,0.4,,
clean_uncertain_subset,789,0.9,primary_answer,18,7,11,0.42857142857142855,0.5454545454545454,1.0,0.36363636363636365,,
clean_uncertain_subset,789,0.9,simple_condition_only,18,7,11,1.0,0.45454545454545453,,0.45454545454545453,,
clean_uncertain_subset,789,0.9,hybrid_uncertain_signal_fallback,18,7,11,1.0,0.45454545454545453,,0.45454545454545453,,
clean_uncertain_subset,789,0.9,seven_signal_moe_predicted,18,7,11,1.0,0.5454545454545454,,0.36363636363636365,,
clean_uncertain_subset,999,0.55,primary_answer,0,0,0,,,,,,
clean_uncertain_subset,999,0.55,simple_condition_only,0,0,0,,,,,,
clean_uncertain_subset,999,0.55,hybrid_uncertain_signal_fallback,0,0,0,,,,,,
clean_uncertain_subset,999,0.55,seven_signal_moe_predicted,0,0,0,,,,,,
clean_uncertain_subset,999,0.6,primary_answer,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,999,0.6,simple_condition_only,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,999,0.6,hybrid_uncertain_signal_fallback,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,999,0.6,seven_signal_moe_predicted,1,1,0,1.0,0.0,,0.0,,
clean_uncertain_subset,999,0.7,primary_answer,5,4,1,0.5,1.0,1.0,0.0,,
clean_uncertain_subset,999,0.7,simple_condition_only,5,4,1,1.0,1.0,,0.0,,
clean_uncertain_subset,999,0.7,hybrid_uncertain_signal_fallback,5,4,1,0.75,1.0,1.0,0.0,,
clean_uncertain_subset,999,0.7,seven_signal_moe_predicted,5,4,1,1.0,1.0,,0.0,,
clean_uncertain_subset,999,0.8,primary_answer,7,6,1,0.5,1.0,1.0,0.0,,
clean_uncertain_subset,999,0.8,simple_condition_only,7,6,1,1.0,1.0,,0.0,,
clean_uncertain_subset,999,0.8,hybrid_uncertain_signal_fallback,7,6,1,0.6666666666666666,1.0,1.0,0.0,,
clean_uncertain_subset,999,0.8,seven_signal_moe_predicted,7,6,1,1.0,1.0,,0.0,,
clean_uncertain_subset,999,0.9,primary_answer,15,12,3,0.5,1.0,0.6666666666666667,0.0,,
clean_uncertain_subset,999,0.9,simple_condition_only,15,12,3,1.0,1.0,,0.0,,
clean_uncertain_subset,999,0.9,hybrid_uncertain_signal_fallback,15,12,3,0.8333333333333334,1.0,1.0,0.0,,
clean_uncertain_subset,999,0.9,seven_signal_moe_predicted,15,12,3,1.0,1.0,,0.0,,
loco_uncertain_subset,42,0.55,simple_condition_only,10,3,7,1.0,0.5714285714285714,,0.2857142857142857,Age,1051
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,10,3,7,0.0,0.5714285714285714,0.33333333333333326,0.2857142857142857,Age,1051
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,10,3,7,1.0,0.5714285714285714,,0.2857142857142857,Age,1051
loco_uncertain_subset,42,0.6,simple_condition_only,23,6,17,0.6666666666666666,0.4117647058823529,1.0,0.5294117647058824,Age,1051
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,23,6,17,0.5,0.5882352941176471,0.33333333333333326,0.29411764705882354,Age,1051
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,23,6,17,0.6666666666666666,0.47058823529411764,1.0,0.47058823529411764,Age,1051
loco_uncertain_subset,42,0.7,simple_condition_only,43,12,31,0.75,0.3870967741935484,0.33333333333333326,0.5483870967741935,Age,1051
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,43,12,31,0.5,0.5806451612903226,0.6666666666666667,0.25806451612903225,Age,1051
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,43,12,31,0.75,0.4838709677419355,0.33333333333333326,0.3870967741935484,Age,1051
loco_uncertain_subset,42,0.8,simple_condition_only,71,17,54,0.7058823529411765,0.4074074074074074,0.19999999999999996,0.5555555555555556,Age,1051
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,71,17,54,0.5882352941176471,0.5925925925925926,0.4285714285714286,0.3148148148148148,Age,1051
