scope,confidence_cut,system,n_runs,n_total_mean,n_total_std,n_ambig_mean,n_ambig_std,n_disambig_mean,n_disambig_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std
clean_uncertain_subset,0.55,hybrid_uncertain_signal_fallback,5,0.6,0.5477225575051661,0.2,0.4472135954999579,0.4,0.5477225575051661,0.0,0.0,0.6666666666666666,0.5773502691896257,0.0,0.0
clean_uncertain_subset,0.55,primary_answer,5,0.6,0.5477225575051661,0.2,0.4472135954999579,0.4,0.5477225575051661,0.0,0.0,0.6666666666666666,0.5773502691896257,0.0,0.0
clean_uncertain_subset,0.55,seven_signal_moe_predicted,5,0.6,0.5477225575051661,0.2,0.4472135954999579,0.4,0.5477225575051661,0.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896257,0.0,0.0
clean_uncertain_subset,0.55,simple_condition_only,5,0.6,0.5477225575051661,0.2,0.4472135954999579,0.4,0.5477225575051661,0.3333333333333333,0.5773502691896257,0.6666666666666666,0.5773502691896257,0.0,0.0
clean_uncertain_subset,0.6,hybrid_uncertain_signal_fallback,5,1.8,0.8366600265340756,0.8,0.8366600265340756,1.0,0.7071067811865476,0.5,0.5,0.8,0.4472135954999579,0.0,0.0
clean_uncertain_subset,0.6,primary_answer,5,1.8,0.8366600265340756,0.8,0.8366600265340756,1.0,0.7071067811865476,0.5,0.5,0.8,0.4472135954999579,0.0,0.0
clean_uncertain_subset,0.6,seven_signal_moe_predicted,5,1.8,0.8366600265340756,0.8,0.8366600265340756,1.0,0.7071067811865476,0.6,0.5477225575051661,0.7,0.4472135954999579,0.1,0.22360679774997896
clean_uncertain_subset,0.6,simple_condition_only,5,1.8,0.8366600265340756,0.8,0.8366600265340756,1.0,0.7071067811865476,0.6,0.5477225575051661,0.7,0.4472135954999579,0.1,0.22360679774997896
clean_uncertain_subset,0.7,hybrid_uncertain_signal_fallback,5,5.2,1.0954451150103321,2.4,1.51657508881031,2.8,1.6431676725154984,0.5833333333333334,0.37267799624996495,0.86,0.21908902300206645,0.14,0.21908902300206645
clean_uncertain_subset,0.7,primary_answer,5,5.2,1.0954451150103321,2.4,1.51657508881031,2.8,1.6431676725154984,0.39999999999999997,0.25276251480171835,0.86,0.21908902300206645,0.14,0.21908902300206645
clean_uncertain_subset,0.7,seven_signal_moe_predicted,5,5.2,1.0954451150103321,2.4,1.51657508881031,2.8,1.6431676725154984,0.8,0.4472135954999579,0.76,0.25099800796022265,0.24,0.25099800796022265
clean_uncertain_subset,0.7,simple_condition_only,5,5.2,1.0954451150103321,2.4,1.51657508881031,2.8,1.6431676725154984,0.8,0.4472135954999579,0.76,0.25099800796022265,0.24,0.25099800796022265
clean_uncertain_subset,0.8,hybrid_uncertain_signal_fallback,5,7.4,1.6733200530681511,3.0,2.1213203435596424,4.4,2.4083189157584592,0.6,0.3651483716701107,0.7847619047619048,0.2548931571108768,0.1819047619047619,0.24634286524321306
