scope,label_frac,system,n_runs,n_total_mean,n_total_std,n_ambig_mean,n_ambig_std,n_disambig_mean,n_disambig_std,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std,condition_accuracy_mean,condition_accuracy_std
clean_low_label,0.01,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9530120481927711,0.0053670270124112985,0.8246987951807229,0.031312989934783104,0.14518072289156628,0.0338872154874663,0.7805722891566265,0.04156803842035175
clean_low_label,0.01,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9135542168674698,0.0050625711789071305,0.6786144578313253,0.06736491404767686,0.29307228915662653,0.06801829076967279,0.7805722891566265,0.04156803842035175
clean_low_label,0.05,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9743975903614458,0.011015616595126336,0.8548192771084338,0.007111878887420231,0.10481927710843374,0.007940618268954253,0.9355421686746987,0.00968140418652119
clean_low_label,0.05,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9644578313253012,0.009678475309072057,0.8301204819277108,0.009607914402250985,0.1280120481927711,0.011419993138631856,0.9355421686746987,0.00968140418652119
clean_low_label,0.1,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.983433734939759,0.002817513092450292,0.8725903614457832,0.005281830697816296,0.08313253012048193,0.007926323715024556,0.9706325301204819,0.007530120481927691
clean_low_label,0.1,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9852409638554217,0.00343426332861187,0.8587349397590361,0.013275241488577703,0.09578313253012048,0.01332639867808972,0.9706325301204819,0.007530120481927691
clean_low_label,0.25,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9951807228915662,0.004312596705806141,0.875,0.006735144510541544,0.0786144578313253,0.004690485392288385,0.9884036144578313,0.0021694066703144403
clean_low_label,0.25,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9912650602409638,0.0032649824380540766,0.8716867469879518,0.004809855247792568,0.08072289156626505,0.006353922623412346,0.9884036144578313,0.0021694066703144403
clean_low_label,0.5,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9969879518072289,0.002381233177837612,0.8765060240963856,0.008651449768882555,0.07560240963855422,0.007015551023404887,0.9957831325301205,0.0015614790175698297
clean_low_label,0.5,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9981927710843373,0.0012600301604429006,0.8762048192771085,0.008479330277264623,0.07560240963855422,0.007331723761830172,0.9957831325301205,0.0015614790175698297
clean_low_label,1.0,hybrid_uncertain_signal_fallback,5,1328.0,0.0,664.0,0.0,664.0,0.0,0.9978915662650603,0.0020205433531624525,0.8795180722891566,0.006983146457451575,0.07228915662650602,0.007063879156360584,0.9983433734939758,0.001116897362514421
clean_low_label,1.0,simple_condition_only,5,1328.0,0.0,664.0,0.0,664.0,0.0,1.0,0.0,0.8789156626506024,0.0069505908188038,0.07259036144578312,0.006684440066618112,0.9983433734939758,0.001116897362514421
