scope,seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed,condition_accuracy,conf_threshold,tau_risk
loco,789,hybrid_uncertain_signal_fallback,1000,500,500,0.884,0.696,0.896551724137931,0.194,Physical_appearance,5834,0.889,0.65,0.0
loco,789,seven_signal_moe_predicted,1000,500,500,0.894,0.678,0.9245283018867925,0.212,Physical_appearance,5834,,,
loco,789,simple_condition_only,1000,500,500,0.95,0.94,0.6000000000000001,0.034,Race_ethnicity,6843,0.91,,
loco,789,hybrid_uncertain_signal_fallback,1000,500,500,0.948,0.94,0.5384615384615385,0.034,Race_ethnicity,6843,0.91,0.55,0.675
loco,789,seven_signal_moe_predicted,1000,500,500,0.95,0.94,0.6000000000000001,0.034,Race_ethnicity,6843,,,
loco,789,simple_condition_only,1000,500,500,0.984,0.776,0.0,0.13,Religion,7852,0.939,,
loco,789,hybrid_uncertain_signal_fallback,1000,500,500,0.986,0.778,-0.1428571428571429,0.128,Religion,7852,0.939,0.55,0.525
loco,789,seven_signal_moe_predicted,1000,500,500,0.912,0.78,0.5909090909090908,0.126,Religion,7852,,,
loco,789,simple_condition_only,1000,500,500,0.996,0.904,1.0,0.074,SES,8861,0.968,,
loco,789,hybrid_uncertain_signal_fallback,1000,500,500,0.992,0.916,1.0,0.062,SES,8861,0.968,0.65,0.0
loco,789,seven_signal_moe_predicted,1000,500,500,0.996,0.904,1.0,0.074,SES,8861,,,
loco,789,simple_condition_only,864,432,432,0.9675925925925926,0.8657407407407407,0.2857142857142858,0.09027777777777778,Sexual_orientation,9870,0.9328703703703703,,
loco,789,hybrid_uncertain_signal_fallback,864,432,432,0.9675925925925926,0.8657407407407407,0.2857142857142858,0.09027777777777778,Sexual_orientation,9870,0.9328703703703703,0.5,0.0
loco,789,seven_signal_moe_predicted,864,432,432,0.9675925925925926,0.8657407407407407,0.2857142857142858,0.09027777777777778,Sexual_orientation,9870,,,
loco,999,simple_condition_only,1000,500,500,0.97,0.832,0.46666666666666656,0.09,Age,2008,0.951,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.97,0.832,0.46666666666666656,0.09,Age,2008,0.951,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,0.97,0.832,0.46666666666666656,0.09,Age,2008,,,
loco,999,simple_condition_only,1000,500,500,1.0,0.772,,0.202,Disability_status,3017,0.93,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,1.0,0.772,,0.202,Disability_status,3017,0.93,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,1.0,0.772,,0.202,Disability_status,3017,,,
loco,999,simple_condition_only,1000,500,500,0.99,0.794,1.0,0.148,Gender_identity,4026,0.945,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.99,0.794,1.0,0.148,Gender_identity,4026,0.945,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,0.956,0.81,0.5454545454545454,0.128,Gender_identity,4026,,,
loco,999,simple_condition_only,1000,500,500,0.868,0.886,-0.21212121212121215,0.096,Nationality,5035,0.881,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.868,0.886,-0.21212121212121215,0.096,Nationality,5035,0.881,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,0.868,0.886,-0.21212121212121215,0.096,Nationality,5035,,,
loco,999,simple_condition_only,1000,500,500,0.894,0.704,0.8867924528301887,0.186,Physical_appearance,6044,0.898,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.89,0.71,0.8909090909090909,0.18,Physical_appearance,6044,0.898,0.55,0.025
loco,999,seven_signal_moe_predicted,1000,500,500,0.894,0.704,0.8867924528301887,0.186,Physical_appearance,6044,,,
loco,999,simple_condition_only,1000,500,500,0.942,0.936,0.5172413793103448,0.038,Race_ethnicity,7053,0.907,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.942,0.936,0.5172413793103448,0.038,Race_ethnicity,7053,0.907,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,0.942,0.936,0.5172413793103448,0.038,Race_ethnicity,7053,,,
loco,999,simple_condition_only,1000,500,500,0.984,0.778,0.0,0.128,Religion,8062,0.94,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.982,0.786,0.11111111111111116,0.116,Religion,8062,0.94,0.85,0.1
loco,999,seven_signal_moe_predicted,1000,500,500,0.936,0.782,0.625,0.124,Religion,8062,,,
loco,999,simple_condition_only,1000,500,500,0.992,0.912,1.0,0.066,SES,9071,0.97,,
loco,999,hybrid_uncertain_signal_fallback,1000,500,500,0.992,0.912,1.0,0.066,SES,9071,0.97,0.5,0.0
loco,999,seven_signal_moe_predicted,1000,500,500,0.97,0.93,1.0,0.048,SES,9071,,,
loco,999,simple_condition_only,864,432,432,0.9699074074074074,0.8657407407407407,0.23076923076923084,0.09027777777777778,Sexual_orientation,10080,0.9386574074074074,,
loco,999,hybrid_uncertain_signal_fallback,864,432,432,0.9699074074074074,0.8657407407407407,0.23076923076923084,0.09027777777777778,Sexual_orientation,10080,0.9386574074074074,0.5,0.0
loco,999,seven_signal_moe_predicted,864,432,432,0.9699074074074074,0.8657407407407407,0.23076923076923084,0.09027777777777778,Sexual_orientation,10080,,,
