scope,seed,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,label_frac,condition_train_n,condition_accuracy,conf_threshold,tau_risk
clean_low_label,42,simple_condition_only,1328,664,664,0.9081325301204819,0.5843373493975904,0.47540983606557385,0.39759036144578314,0.01,62,0.7221385542168675,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.947289156626506,0.7786144578313253,-0.08571428571428574,0.19879518072289157,0.01,62,0.7221385542168675,0.95,0.3
clean_low_label,42,simple_condition_only,1328,664,664,0.9653614457831325,0.8298192771084337,0.3913043478260869,0.1280120481927711,0.05,310,0.9427710843373494,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9668674698795181,0.8644578313253012,0.09090909090909083,0.0963855421686747,0.05,310,0.9427710843373494,0.9,0.175
clean_low_label,42,simple_condition_only,1328,664,664,0.9864457831325302,0.8448795180722891,0.5555555555555556,0.1144578313253012,0.1,620,0.9593373493975904,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9804216867469879,0.875,0.07692307692307687,0.09036144578313253,0.1,620,0.9593373493975904,0.95,0.275
clean_low_label,42,simple_condition_only,1328,664,664,0.9879518072289156,0.8689759036144579,0.25,0.08885542168674698,0.25,1552,0.9871987951807228,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9879518072289156,0.875,0.25,0.08283132530120482,0.25,1552,0.9871987951807228,0.8,0.4
clean_low_label,42,simple_condition_only,1328,664,664,0.9969879518072289,0.8734939759036144,0.0,0.08283132530120482,0.5,3104,0.9947289156626506,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9939759036144579,0.875,0.5,0.08132530120481928,0.5,3104,0.9947289156626506,0.75,0.0
clean_low_label,42,simple_condition_only,1328,664,664,1.0,0.8765060240963856,,0.07981927710843373,1.0,6208,0.9969879518072289,,
clean_low_label,42,hybrid_uncertain_signal_fallback,1328,664,664,0.9954819277108434,0.8780120481927711,0.33333333333333326,0.07981927710843373,1.0,6208,0.9969879518072289,0.9,0.025
clean_low_label,123,simple_condition_only,1328,664,664,0.9216867469879518,0.6852409638554217,0.46153846153846145,0.28313253012048195,0.01,62,0.7951807228915663,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9593373493975904,0.8087349397590361,0.18518518518518512,0.15512048192771086,0.01,62,0.7951807228915663,0.95,0.5
clean_low_label,123,simple_condition_only,1328,664,664,0.9608433734939759,0.8177710843373494,0.5384615384615385,0.13704819277108435,0.05,310,0.9269578313253012,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9789156626506024,0.8599397590361446,0.4285714285714286,0.10090361445783133,0.05,310,0.9269578313253012,0.9,0.475
clean_low_label,123,simple_condition_only,1328,664,664,0.9894578313253012,0.8629518072289156,0.1428571428571428,0.08734939759036145,0.1,620,0.9759036144578314,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9819277108433735,0.8734939759036144,0.0,0.07530120481927711,0.1,620,0.9759036144578314,0.75,0.05
clean_low_label,123,simple_condition_only,1328,664,664,0.9894578313253012,0.875,0.7142857142857142,0.07228915662650602,0.25,1552,0.9856927710843374,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9984939759036144,0.8780120481927711,1.0,0.07228915662650602,0.25,1552,0.9856927710843374,0.85,0.8
clean_low_label,123,simple_condition_only,1328,664,664,0.9984939759036144,0.8825301204819277,1.0,0.06475903614457831,0.5,3104,0.9984939759036144,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9984939759036144,0.8810240963855421,1.0,0.06626506024096386,0.5,3104,0.9984939759036144,0.8,0.7
clean_low_label,123,simple_condition_only,1328,664,664,1.0,0.8810240963855421,,0.06626506024096386,1.0,6208,0.9977409638554217,,
clean_low_label,123,hybrid_uncertain_signal_fallback,1328,664,664,0.9969879518072289,0.8825301204819277,-1.0,0.06475903614457831,1.0,6208,0.9977409638554217,0.9,0.125
clean_low_label,456,simple_condition_only,1328,664,664,0.911144578313253,0.641566265060241,0.6271186440677967,0.31626506024096385,0.01,62,0.7545180722891566,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,0.9518072289156626,0.8403614457831325,0.1875,0.12048192771084337,0.01,62,0.7545180722891566,0.95,0.325
clean_low_label,456,simple_condition_only,1328,664,664,0.9698795180722891,0.8433734939759037,0.19999999999999996,0.10843373493975904,0.05,310,0.9487951807228916,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,0.9804216867469879,0.8478915662650602,-0.07692307692307687,0.10090361445783133,0.05,310,0.9487951807228916,0.8,0.275
clean_low_label,456,simple_condition_only,1328,664,664,0.983433734939759,0.8539156626506024,0.4545454545454546,0.09186746987951808,0.1,620,0.9698795180722891,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,0.9864457831325302,0.8689759036144579,-0.11111111111111116,0.07530120481927711,0.1,620,0.9698795180722891,0.8,0.15
clean_low_label,456,simple_condition_only,1328,664,664,0.9954819277108434,0.8659638554216867,0.33333333333333326,0.07680722891566265,0.25,1552,0.9909638554216867,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,0.9984939759036144,0.8659638554216867,1.0,0.07981927710843373,0.25,1552,0.9909638554216867,0.85,0.775
clean_low_label,456,simple_condition_only,1328,664,664,1.0,0.8659638554216867,,0.07680722891566265,0.5,3104,0.9947289156626506,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,1.0,0.8659638554216867,,0.07680722891566265,0.5,3104,0.9947289156626506,0.5,0.0
clean_low_label,456,simple_condition_only,1328,664,664,1.0,0.8734939759036144,,0.0677710843373494,1.0,6208,0.9984939759036144,,
clean_low_label,456,hybrid_uncertain_signal_fallback,1328,664,664,1.0,0.8734939759036144,,0.0677710843373494,1.0,6208,0.9984939759036144,0.5,0.0
clean_low_label,789,simple_condition_only,1328,664,664,0.9126506024096386,0.7469879518072289,0.5172413793103448,0.2319277108433735,0.01,62,0.8064759036144579,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,0.9578313253012049,0.858433734939759,0.1428571428571428,0.1144578313253012,0.01,62,0.8064759036144579,0.95,0.375
clean_low_label,789,simple_condition_only,1328,664,664,0.9759036144578314,0.8343373493975904,0.375,0.13403614457831325,0.05,310,0.9307228915662651,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,0.9864457831325302,0.8493975903614458,0.11111111111111116,0.11596385542168675,0.05,310,0.9307228915662651,0.9,0.5
clean_low_label,789,simple_condition_only,1328,664,664,0.9864457831325302,0.8795180722891566,0.33333333333333326,0.08132530120481928,0.1,620,0.9789156626506024,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,0.9864457831325302,0.8795180722891566,0.11111111111111116,0.08283132530120482,0.1,620,0.9789156626506024,0.9,0.4
clean_low_label,789,simple_condition_only,1328,664,664,0.9939759036144579,0.8780120481927711,1.0,0.08283132530120482,0.25,1552,0.9879518072289156,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,0.9954819277108434,0.8840361445783133,1.0,0.07530120481927711,0.25,1552,0.9879518072289156,0.8,0.3
clean_low_label,789,simple_condition_only,1328,664,664,0.9984939759036144,0.8870481927710844,1.0,0.07228915662650602,0.5,3104,0.9954819277108434,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,0.9969879518072289,0.8885542168674698,1.0,0.07078313253012049,0.5,3104,0.9954819277108434,0.65,0.0
clean_low_label,789,simple_condition_only,1328,664,664,1.0,0.8900602409638554,,0.06927710843373494,1.0,6208,0.9984939759036144,,
clean_low_label,789,hybrid_uncertain_signal_fallback,1328,664,664,1.0,0.8900602409638554,,0.06927710843373494,1.0,6208,0.9984939759036144,0.5,0.0
clean_low_label,999,simple_condition_only,1328,664,664,0.9141566265060241,0.7349397590361446,0.22807017543859653,0.23644578313253012,0.01,62,0.8245481927710844,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9487951807228916,0.8373493975903614,0.17647058823529416,0.13704819277108435,0.01,62,0.8245481927710844,0.9,0.15
clean_low_label,999,simple_condition_only,1328,664,664,0.9503012048192772,0.8253012048192772,0.5151515151515151,0.13253012048192772,0.05,310,0.9284638554216867,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9593373493975904,0.8524096385542169,0.33333333333333326,0.10993975903614457,0.05,310,0.9284638554216867,0.85,0.125
clean_low_label,999,simple_condition_only,1328,664,664,0.9804216867469879,0.8524096385542169,0.6923076923076923,0.10391566265060241,0.1,620,0.9691265060240963,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9819277108433735,0.8659638554216867,0.33333333333333326,0.09186746987951808,0.1,620,0.9691265060240963,0.85,0.325
clean_low_label,999,simple_condition_only,1328,664,664,0.9894578313253012,0.8704819277108434,0.7142857142857142,0.08283132530120482,0.25,1552,0.990210843373494,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9954819277108434,0.8719879518072289,0.33333333333333326,0.08283132530120482,0.25,1552,0.990210843373494,0.8,0.975
clean_low_label,999,simple_condition_only,1328,664,664,0.9969879518072289,0.8719879518072289,0.0,0.08132530120481928,0.5,3104,0.9954819277108434,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9954819277108434,0.8719879518072289,-0.33333333333333337,0.08283132530120482,0.5,3104,0.9954819277108434,0.85,0.575
clean_low_label,999,simple_condition_only,1328,664,664,1.0,0.8734939759036144,,0.07981927710843373,1.0,6208,1.0,,
clean_low_label,999,hybrid_uncertain_signal_fallback,1328,664,664,0.9969879518072289,0.8734939759036144,1.0,0.07981927710843373,1.0,6208,1.0,0.8,0.075
