category,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
Age,0.75,0.8075751280986013,0.9397590361445783,0.6839080459770115,0.0,0.26436781609195403,340
Disability_status,0.7,0.7889087656529518,0.8974358974358975,0.7131782945736435,0.0,0.21705426356589147,246
Gender_identity,0.65,0.7659673659673659,0.8871794871794871,0.6767676767676768,0.0,0.24242424242424243,393
Race_ethnicity,0.75,0.8299277605779154,0.9176470588235294,0.8070175438596491,0.0,0.17543859649122806,341
Religion,0.75,0.5279414805624485,0.8645833333333334,0.5483870967741935,0.15384615384615374,0.3655913978494624,378
SES,0.7,0.9006428436377387,0.9534883720930233,0.8780487804878049,0.0,0.10569105691056911,252
Sexual_orientation,0.8,0.7636566332218506,0.9230769230769231,0.6811594202898551,0.0,0.3188405797101449,147
