system,subset,n_seeds,n_total_mean,n_total_std,n_shared_min,n_missing_max,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,bias_abs_amb_mean,bias_abs_amb_std,false_abstention_rate_mean,false_abstention_rate_std
composite,shared_test,5,1328.0,0.0,1328.0,0.0,0.6843373493975904,0.01382756497727474,0.2855421686746988,0.010891376344436465,0.08058843960996602,0.06853864459545415,0.24487951807228914,0.016449478820377287
decap,shared_test,5,1328.0,0.0,1328.0,0.0,0.805722891566265,0.005533485864721005,0.7237951807228915,0.0074999395168606885,0.42964847342800105,0.048565149695344645,0.2418674698795181,0.009380970784576765
fairsteer,shared_test,5,14.8,3.8340579025361627,10.0,1318.0,0.6025974025974026,0.11185053154386573,0.8306349206349207,0.11516909473885778,1.0,0.0,0.11936507936507937,0.12523799464860064
ours_per_condition_oracle,full_test,5,1328.0,0.0,,,0.994578313253012,0.0053881156084332055,0.8737951807228918,0.010932946634265982,0.8333333333333334,0.3333333333333333,0.08373493975903615,0.01942128874894902
ours_predicted_condition,full_test,5,1328.0,0.0,,,0.994578313253012,0.0053881156084332055,0.8731927710843372,0.010828721694125026,0.8333333333333334,0.3333333333333333,0.08433734939759037,0.01928651878744834
ours_single_tau,full_test,5,1328.0,0.0,,,0.9493975903614459,0.012627273383285885,0.8412650602409638,0.018371024918044477,0.14739026701964245,0.13219265261248903,0.13253012048192772,0.02400207447365848
self_debiasing,shared_test,5,187.2,7.19027120489902,180.0,1148.0,0.955625596350577,0.016559380962110373,0.17400220575765984,0.040206385342520155,0.42666666666666664,0.3875851160999636,0.8028157678672233,0.03554527876279081
