seed,held_out_category,variant,n_train,n_val,n_held_out,condition_accuracy,tau_amb,tau_dis,tau_default,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate,parse_fail_rate
123,Disability_status,ours_predicted_condition,6684,1180,1000,0.929,0.925,0.05,0.5,1000,500,500,0.938,0.816,0.09677419354838701,0.056872037914691864,0.156,0.0
123,Gender_identity,ours_single_tau,6684,1180,1000,0.944,,,0.525,1000,500,500,0.85,0.786,0.43999999999999995,0.007092198581560183,0.154,0.0
123,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.944,0.95,0.05,,1000,500,500,0.94,0.854,0.2666666666666666,0.023758099352051865,0.074,0.0
123,Gender_identity,ours_predicted_condition,6684,1180,1000,0.944,0.95,0.05,0.5,1000,500,500,0.938,0.806,0.29032258064516125,0.006928406466512715,0.134,0.0
123,Nationality,ours_single_tau,6684,1180,1000,0.881,,,0.325,1000,500,500,0.722,0.944,-0.05035971223021585,-0.012448132780082943,0.036,0.0
123,Nationality,ours_per_condition_oracle,6684,1180,1000,0.881,0.925,0.05,,1000,500,500,0.856,0.944,-0.5,-0.012448132780082943,0.036,0.0
123,Nationality,ours_predicted_condition,6684,1180,1000,0.881,0.925,0.05,0.5,1000,500,500,0.822,0.93,-0.2808988764044944,0.002105263157894832,0.05,0.0
123,Physical_appearance,ours_single_tau,6684,1180,1000,0.899,,,0.575,1000,500,500,0.86,0.648,0.6571428571428573,0.07608695652173902,0.264,0.0
123,Physical_appearance,ours_per_condition_oracle,6684,1180,1000,0.899,0.95,0.05,,1000,500,500,0.978,0.722,0.8181818181818181,0.09661835748792269,0.172,0.0
123,Physical_appearance,ours_predicted_condition,6684,1180,1000,0.899,0.95,0.05,0.5,1000,500,500,0.902,0.71,0.8775510204081634,0.10073710073710074,0.186,0.0
123,Race_ethnicity,ours_single_tau,6684,1180,1000,0.909,,,0.475,1000,500,500,0.88,0.916,0.19999999999999996,-0.008583690987124415,0.068,0.0
123,Race_ethnicity,ours_per_condition_oracle,6684,1180,1000,0.909,0.875,0.05,,1000,500,500,0.936,0.95,0.125,0.004115226337448652,0.028,0.0
123,Race_ethnicity,ours_predicted_condition,6684,1180,1000,0.909,0.875,0.05,0.5,1000,500,500,0.916,0.94,0.19047619047619047,0.0020790020790020236,0.038,0.0
123,Religion,ours_single_tau,6684,1180,1000,0.938,,,0.4,1000,500,500,0.888,0.732,0.4285714285714286,0.09823677581863977,0.206,0.0
123,Religion,ours_per_condition_oracle,6684,1180,1000,0.938,0.85,0.05,,1000,500,500,0.936,0.786,0.75,0.0975056689342404,0.118,0.0
123,Religion,ours_predicted_condition,6684,1180,1000,0.938,0.85,0.05,0.5,1000,500,500,0.926,0.776,0.6216216216216217,0.08965517241379306,0.13,0.0
123,SES,ours_single_tau,6684,1180,1000,0.968,,,0.325,1000,500,500,0.91,0.906,0.15555555555555545,0.03703703703703698,0.082,0.0
123,SES,ours_per_condition_oracle,6684,1180,1000,0.968,0.9,0.05,,1000,500,500,0.988,0.946,1.0,0.03950103950103956,0.038,0.0
123,SES,ours_predicted_condition,6684,1180,1000,0.968,0.9,0.05,0.5,1000,500,500,0.988,0.944,1.0,0.04384133611691032,0.042,0.0
123,Sexual_orientation,ours_single_tau,6800,1200,864,0.9259259259259259,,,0.4,864,432,432,0.8657407407407407,0.7777777777777778,0.13793103448275867,-0.014084507042253502,0.17824074074074073,0.0
123,Sexual_orientation,ours_per_condition_oracle,6800,1200,864,0.9259259259259259,0.95,0.05,,864,432,432,0.9490740740740741,0.8402777777777778,0.2727272727272727,-0.005235602094240788,0.11574074074074074,0.0
123,Sexual_orientation,ours_predicted_condition,6800,1200,864,0.9259259259259259,0.95,0.05,0.5,864,432,432,0.9212962962962963,0.8402777777777778,0.23529411764705888,-0.005235602094240788,0.11574074074074074,0.0
456,Age,ours_single_tau,6684,1180,1000,0.953,,,0.3,1000,500,500,0.77,0.79,0.808695652173913,0.08883826879271073,0.122,0.0
456,Age,ours_per_condition_oracle,6684,1180,1000,0.953,0.95,0.05,,1000,500,500,0.962,0.852,0.6842105263157894,0.09090909090909083,0.054,0.0
456,Age,ours_predicted_condition,6684,1180,1000,0.953,0.95,0.05,0.5,1000,500,500,0.946,0.818,0.5555555555555556,0.10222222222222221,0.1,0.0
456,Disability_status,ours_single_tau,6684,1180,1000,0.929,,,0.5,1000,500,500,0.83,0.75,0.2941176470588236,0.06493506493506485,0.23,0.0
456,Disability_status,ours_per_condition_oracle,6684,1180,1000,0.929,0.825,0.05,,1000,500,500,0.922,0.848,0.3846153846153846,0.03872437357630987,0.122,0.0
456,Disability_status,ours_predicted_condition,6684,1180,1000,0.929,0.825,0.05,0.5,1000,500,500,0.922,0.808,0.3846153846153846,0.05741626794258381,0.164,0.0
456,Gender_identity,ours_single_tau,6684,1180,1000,0.945,,,0.35,1000,500,500,0.838,0.798,0.4320987654320987,0.030162412993039345,0.138,0.0
456,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.945,0.95,0.05,,1000,500,500,0.952,0.84,0.25,0.03524229074889873,0.092,0.0
456,Gender_identity,ours_predicted_condition,6684,1180,1000,0.945,0.95,0.05,0.5,1000,500,500,0.948,0.796,0.3076923076923077,0.009345794392523255,0.144,0.0
456,Nationality,ours_single_tau,6684,1180,1000,0.885,,,0.45,1000,500,500,0.806,0.882,-0.17525773195876293,-0.03111111111111109,0.1,0.0
456,Nationality,ours_per_condition_oracle,6684,1180,1000,0.885,0.95,0.05,,1000,500,500,0.9,0.936,-0.48,-0.012552301255230103,0.044,0.0
456,Nationality,ours_predicted_condition,6684,1180,1000,0.885,0.95,0.05,0.5,1000,500,500,0.854,0.91,-0.26027397260273977,0.0,0.072,0.0
456,Physical_appearance,ours_single_tau,6684,1180,1000,0.877,,,0.475,1000,500,500,0.872,0.638,0.875,0.1074380165289257,0.274,0.0
456,Physical_appearance,ours_per_condition_oracle,6684,1180,1000,0.877,0.95,0.05,,1000,500,500,0.978,0.718,1.0,0.0987951807228915,0.17,0.0
456,Physical_appearance,ours_predicted_condition,6684,1180,1000,0.877,0.95,0.05,0.5,1000,500,500,0.898,0.678,0.9215686274509804,0.10152284263959399,0.212,0.0
456,Race_ethnicity,ours_single_tau,6684,1180,1000,0.909,,,0.475,1000,500,500,0.88,0.918,-0.09999999999999998,0.0021413276231263545,0.066,0.0
456,Race_ethnicity,ours_per_condition_oracle,6684,1180,1000,0.909,0.95,0.05,,1000,500,500,0.986,0.956,0.1428571428571428,0.012295081967213184,0.024,0.0
456,Race_ethnicity,ours_predicted_condition,6684,1180,1000,0.909,0.95,0.05,0.5,1000,500,500,0.944,0.948,0.5,0.012396694214876103,0.032,0.0
456,Religion,ours_single_tau,6684,1180,1000,0.933,,,0.325,1000,500,500,0.846,0.772,0.37662337662337664,0.10023310023310028,0.142,0.0
456,Religion,ours_per_condition_oracle,6684,1180,1000,0.933,0.85,0.05,,1000,500,500,0.912,0.79,0.5,0.0855855855855856,0.112,0.0
456,Religion,ours_predicted_condition,6684,1180,1000,0.933,0.85,0.05,0.5,1000,500,500,0.904,0.784,0.5,0.08390022675736963,0.118,0.0
456,SES,ours_single_tau,6684,1180,1000,0.967,,,0.275,1000,500,500,0.882,0.862,0.5593220338983051,0.0183486238532109,0.128,0.0
456,SES,ours_per_condition_oracle,6684,1180,1000,0.967,0.95,0.05,,1000,500,500,0.98,0.938,0.8,0.03361344537815136,0.048,0.0
456,SES,ours_predicted_condition,6684,1180,1000,0.967,0.95,0.05,0.5,1000,500,500,0.98,0.914,0.8,0.06263498920086397,0.074,0.0
456,Sexual_orientation,ours_single_tau,6800,1200,864,0.9282407407407407,,,0.4,864,432,432,0.8055555555555556,0.8310185185185185,0.19047619047619047,-0.010582010582010581,0.125,0.0
456,Sexual_orientation,ours_per_condition_oracle,6800,1200,864,0.9282407407407407,0.95,0.05,,864,432,432,0.9004629629629629,0.8472222222222222,0.20930232558139528,-0.012987012987012991,0.1087962962962963,0.0
456,Sexual_orientation,ours_predicted_condition,6800,1200,864,0.9282407407407407,0.95,0.05,0.5,864,432,432,0.875,0.8472222222222222,0.18518518518518512,-0.012987012987012991,0.1087962962962963,0.0
789,Age,ours_single_tau,6684,1180,1000,0.955,,,0.475,1000,500,500,0.754,0.76,0.7723577235772359,0.0839328537170263,0.166,0.0
789,Age,ours_per_condition_oracle,6684,1180,1000,0.955,0.95,0.05,,1000,500,500,0.938,0.854,0.8709677419354838,0.09322033898305082,0.056,0.0
789,Age,ours_predicted_condition,6684,1180,1000,0.955,0.95,0.05,0.5,1000,500,500,0.934,0.824,0.8181818181818181,0.0997782705099779,0.098,0.0
789,Disability_status,ours_single_tau,6684,1180,1000,0.931,,,0.175,1000,500,500,0.776,0.786,0.2321428571428572,0.06234413965087282,0.198,0.0
789,Disability_status,ours_per_condition_oracle,6684,1180,1000,0.931,0.925,0.05,,1000,500,500,0.978,0.85,-0.09090909090909094,0.04347826086956519,0.126,0.0
789,Disability_status,ours_predicted_condition,6684,1180,1000,0.931,0.925,0.05,0.5,1000,500,500,0.978,0.796,-0.09090909090909094,0.046454767726161306,0.182,0.0
789,Gender_identity,ours_single_tau,6684,1180,1000,0.938,,,0.4,1000,500,500,0.898,0.73,0.33333333333333326,0.0,0.212,0.0
789,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.938,0.925,0.05,,1000,500,500,0.96,0.826,0.5,0.020134228187919545,0.106,0.0
789,Gender_identity,ours_predicted_condition,6684,1180,1000,0.938,0.925,0.05,0.5,1000,500,500,0.96,0.778,0.5,0.004784688995215225,0.164,0.0
789,Nationality,ours_single_tau,6684,1180,1000,0.883,,,0.2,1000,500,500,0.774,0.922,-0.16814159292035402,-0.014925373134328401,0.062,0.0
789,Nationality,ours_per_condition_oracle,6684,1180,1000,0.883,0.875,0.05,,1000,500,500,0.88,0.938,-0.4666666666666667,-0.008368200836820106,0.044,0.0
789,Nationality,ours_predicted_condition,6684,1180,1000,0.883,0.875,0.05,0.5,1000,500,500,0.846,0.92,-0.24675324675324672,0.0,0.064,0.0
789,Physical_appearance,ours_single_tau,6684,1180,1000,0.889,,,0.55,1000,500,500,0.926,0.496,1.0,0.1333333333333333,0.46,0.0
789,Physical_appearance,ours_per_condition_oracle,6684,1180,1000,0.889,0.95,0.05,,1000,500,500,0.976,0.662,1.0,0.09383378016085797,0.254,0.0
789,Physical_appearance,ours_predicted_condition,6684,1180,1000,0.889,0.95,0.05,0.5,1000,500,500,0.9,0.616,0.9199999999999999,0.10028653295128942,0.302,0.0
789,Race_ethnicity,ours_single_tau,6684,1180,1000,0.91,,,0.575,1000,500,500,0.904,0.872,-0.08333333333333337,0.013513513513513598,0.112,0.0
789,Race_ethnicity,ours_per_condition_oracle,6684,1180,1000,0.91,0.95,0.05,,1000,500,500,0.962,0.95,-0.052631578947368474,0.004115226337448652,0.028,0.0
789,Race_ethnicity,ours_predicted_condition,6684,1180,1000,0.91,0.95,0.05,0.5,1000,500,500,0.924,0.934,0.26315789473684204,0.004184100418409997,0.044,0.0
789,Religion,ours_single_tau,6684,1180,1000,0.939,,,0.475,1000,500,500,0.832,0.764,0.30952380952380953,0.09601873536299776,0.146,0.0
789,Religion,ours_per_condition_oracle,6684,1180,1000,0.939,0.95,0.05,,1000,500,500,0.912,0.79,0.5,0.0855855855855856,0.112,0.0
789,Religion,ours_predicted_condition,6684,1180,1000,0.939,0.95,0.05,0.5,1000,500,500,0.908,0.776,0.5217391304347827,0.07834101382488479,0.132,0.0
789,SES,ours_single_tau,6684,1180,1000,0.968,,,0.275,1000,500,500,0.888,0.924,0.6428571428571428,0.05353319057815842,0.066,0.0
789,SES,ours_per_condition_oracle,6684,1180,1000,0.968,0.95,0.05,,1000,500,500,0.994,0.95,1.0,0.03703703703703698,0.028,0.0
789,SES,ours_predicted_condition,6684,1180,1000,0.968,0.95,0.05,0.5,1000,500,500,0.99,0.924,1.0,0.06355932203389836,0.056,0.0
789,Sexual_orientation,ours_single_tau,6800,1200,864,0.9328703703703703,,,0.325,864,432,432,0.8379629629629629,0.8101851851851852,0.22857142857142865,-0.013550135501354976,0.14583333333333334,0.0
789,Sexual_orientation,ours_per_condition_oracle,6800,1200,864,0.9328703703703703,0.95,0.05,,864,432,432,0.9421296296296297,0.8449074074074074,0.19999999999999996,-0.01041666666666663,0.1111111111111111,0.0
789,Sexual_orientation,ours_predicted_condition,6800,1200,864,0.9328703703703703,0.95,0.05,0.5,864,432,432,0.9143518518518519,0.8449074074074074,0.18918918918918926,-0.01041666666666663,0.1111111111111111,0.0
999,Age,ours_single_tau,6684,1180,1000,0.951,,,0.4,1000,500,500,0.766,0.766,0.7435897435897436,0.09647058823529409,0.15,0.0
999,Age,ours_per_condition_oracle,6684,1180,1000,0.951,0.925,0.05,,1000,500,500,0.9,0.834,0.8799999999999999,0.0818965517241379,0.072,0.0
999,Age,ours_predicted_condition,6684,1180,1000,0.951,0.925,0.05,0.5,1000,500,500,0.878,0.804,0.8032786885245902,0.08803611738148986,0.114,0.0
999,Disability_status,ours_single_tau,6684,1180,1000,0.93,,,0.45,1000,500,500,0.794,0.786,0.2815533980582525,0.054455445544554504,0.192,0.0
999,Disability_status,ours_per_condition_oracle,6684,1180,1000,0.93,0.925,0.05,,1000,500,500,0.952,0.864,-0.16666666666666663,0.029082774049216997,0.106,0.0
999,Disability_status,ours_predicted_condition,6684,1180,1000,0.93,0.925,0.05,0.5,1000,500,500,0.952,0.812,-0.16666666666666663,0.05011933174224348,0.162,0.0
999,Gender_identity,ours_single_tau,6684,1180,1000,0.945,,,0.175,1000,500,500,0.818,0.802,0.34065934065934056,0.02304147465437789,0.132,0.0
999,Gender_identity,ours_per_condition_oracle,6684,1180,1000,0.945,0.95,0.05,,1000,500,500,0.952,0.84,0.41666666666666674,0.01538461538461533,0.09,0.0
999,Gender_identity,ours_predicted_condition,6684,1180,1000,0.945,0.95,0.05,0.5,1000,500,500,0.95,0.802,0.43999999999999995,-0.00462962962962965,0.136,0.0
999,Nationality,ours_single_tau,6684,1180,1000,0.881,,,0.35,1000,500,500,0.782,0.896,-0.15596330275229353,-0.0241758241758242,0.09,0.0
999,Nationality,ours_per_condition_oracle,6684,1180,1000,0.881,0.875,0.05,,1000,500,500,0.902,0.924,-0.5510204081632653,0.004237288135593209,0.056,0.0
999,Nationality,ours_predicted_condition,6684,1180,1000,0.881,0.875,0.05,0.5,1000,500,500,0.844,0.91,-0.23076923076923073,-0.0021505376344086446,0.07,0.0
999,Physical_appearance,ours_single_tau,6684,1180,1000,0.898,,,0.325,1000,500,500,0.776,0.68,0.6785714285714286,0.10594315245478025,0.226,0.0
999,Physical_appearance,ours_per_condition_oracle,6684,1180,1000,0.898,0.95,0.05,,1000,500,500,0.968,0.734,1.0,0.09219858156028371,0.154,0.0
999,Physical_appearance,ours_predicted_condition,6684,1180,1000,0.898,0.95,0.05,0.5,1000,500,500,0.888,0.718,0.8928571428571428,0.09661835748792269,0.172,0.0
999,Race_ethnicity,ours_single_tau,6684,1180,1000,0.907,,,0.325,1000,500,500,0.872,0.916,0.0,0.0064239828693790635,0.066,0.0
999,Race_ethnicity,ours_per_condition_oracle,6684,1180,1000,0.907,0.95,0.05,,1000,500,500,0.966,0.952,0.41176470588235303,0.012295081967213184,0.024,0.0
999,Race_ethnicity,ours_predicted_condition,6684,1180,1000,0.907,0.95,0.05,0.5,1000,500,500,0.94,0.928,0.3999999999999999,0.01680672268907557,0.048,0.0
999,Religion,ours_single_tau,6684,1180,1000,0.94,,,0.275,1000,500,500,0.86,0.766,0.2571428571428571,0.08133971291866038,0.164,0.0
999,Religion,ours_per_condition_oracle,6684,1180,1000,0.94,0.95,0.05,,1000,500,500,0.936,0.788,0.6875,0.08597285067873295,0.116,0.0
999,Religion,ours_predicted_condition,6684,1180,1000,0.94,0.95,0.05,0.5,1000,500,500,0.93,0.776,0.6571428571428573,0.07159353348729791,0.134,0.0
999,SES,ours_single_tau,6684,1180,1000,0.97,,,0.525,1000,500,500,0.908,0.844,0.5217391304347827,0.032863849765258246,0.148,0.0
999,SES,ours_per_condition_oracle,6684,1180,1000,0.97,0.95,0.05,,1000,500,500,0.972,0.94,0.8571428571428572,0.04184100418410042,0.044,0.0
999,SES,ours_predicted_condition,6684,1180,1000,0.97,0.95,0.05,0.5,1000,500,500,0.97,0.924,0.8666666666666667,0.05756929637526653,0.062,0.0
999,Sexual_orientation,ours_single_tau,6800,1200,864,0.9386574074074074,,,0.575,864,432,432,0.8796296296296297,0.8032407407407407,0.11538461538461542,-0.011049723756906049,0.16203703703703703,0.0
999,Sexual_orientation,ours_per_condition_oracle,6800,1200,864,0.9386574074074074,0.95,0.05,,864,432,432,0.9212962962962963,0.8495370370370371,0.05882352941176472,-0.015544041450777257,0.10648148148148148,0.0
999,Sexual_orientation,ours_predicted_condition,6800,1200,864,0.9386574074074074,0.95,0.05,0.5,864,432,432,0.8958333333333334,0.8495370370370371,0.06666666666666665,-0.015544041450777257,0.10648148148148148,0.0
