layer,n_bias_features,s7_delta_loss,full_val_loss,no_s7_val_loss,best_threshold,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate
12,73,0.010207951068878174,0.3836797773838043,0.3938877284526825,0.55,1.0,0.9333333333333333,,0.06666666666666667
15,90,0.001197129487991333,0.39269059896469116,0.3938877284526825,0.55,1.0,0.9333333333333333,,0.06666666666666667
18,102,0.0005843043327331543,0.39330342411994934,0.3938877284526825,0.55,1.0,0.9333333333333333,,0.06666666666666667
