seed,len3_acc,sent_only_acc,n_test
42,0.9495481927710844,0.8968373493975904,1328
123,0.9465361445783133,0.9051204819277109,1328
456,0.9450301204819277,0.8990963855421686,1328
789,0.9510542168674698,0.9051204819277109,1328
999,0.9487951807228916,0.9043674698795181,1328
