category,best_tau,score,acc_amb,acc_dis,bias_amb,far,n
Age,0.6,0.741065682608731,0.8975903614457831,0.7298850574712644,0.05882352941176472,0.19540229885057472,340
Disability_status,0.7,0.7889087656529518,0.8974358974358975,0.7131782945736435,0.0,0.21705426356589147,246
Gender_identity,0.6,0.7249366575453532,0.882051282051282,0.6818181818181818,0.04347826086956519,0.22727272727272727,393
Race_ethnicity,0.6,0.7004815961472308,0.8823529411764706,0.8187134502923976,-0.09999999999999998,0.16374269005847952,341
Religion,0.7,0.4651497695852535,0.8541666666666666,0.5645161290322581,0.2142857142857142,0.34946236559139787,378
SES,0.7,0.9006428436377387,0.9534883720930233,0.8780487804878049,0.0,0.10569105691056911,252
Sexual_orientation,0.7,0.6666159927029492,0.8589743589743589,0.7971014492753623,0.09090909090909083,0.2028985507246377,147
