category,n_total,accuracy_amb,accuracy_dis,bias_score_amb,bias_score_dis,false_abstention_rate
Age,300,0.5066666666666667,0.48,0.7297297297297298,-0.18110236220472442,0.15333333333333332
Disability_status,300,0.8333333333333334,0.10666666666666667,1.0,0.8620689655172413,0.8066666666666666
Gender_identity,300,0.7,0.6733333333333333,0.33333333333333326,0.08148148148148149,0.1
Nationality,300,0.82,0.5,1.0,-0.020408163265306145,0.02
Physical_appearance,300,0.52,0.9533333333333334,0.8333333333333333,-0.020979020979020935,0.04666666666666667
Race_ethnicity,300,0.5133333333333333,0.9733333333333334,0.15068493150684925,-0.0273972602739726,0.02666666666666667
Religion,300,0.7,0.7666666666666667,0.19999999999999996,0.10924369747899165,0.20666666666666667
SES,300,0.94,0.6733333333333333,0.33333333333333326,0.4455445544554455,0.32666666666666666
Sexual_orientation,272,0.6985294117647058,0.33088235294117646,1.0,0.0714285714285714,0.5882352941176471
