model,seeds,accuracy_amb_mean,accuracy_amb_std,accuracy_amb_n,accuracy_dis_mean,accuracy_dis_std,accuracy_dis_n,false_abstention_rate_mean,false_abstention_rate_std,false_abstention_rate_n,bias_score_amb_mean,bias_score_amb_std,bias_score_amb_n,parse_fail_rate_mean,parse_fail_rate_std,parse_fail_rate_n
qwen,"42,123,456,789,999",0.9894736842105263,0.004634897746593217,5,0.8147368421052632,0.01827547200291047,5,0.16721804511278196,0.022238359477653354,5,0.6457142857142857,0.254430135553065,5,0.0,0.0,5
mistral,"42,123,456,789,999",0.9939849624060151,0.001841721611115203,5,0.7798496240601503,0.009895148196308047,5,0.19157894736842104,0.00995211555354845,5,0.1,0.7416198487095663,5,0.0009022556390977444,0.0006290676891233651,5
