seed,best_val_tau_dis,best_val_score,test_tau_0_05_score,test_tau_0_05_acc_amb,test_tau_0_05_acc_dis,test_tau_0_05_far
42,0.0,0.9450301204819277,0.9344879518072289,0.9984939759036144,0.8704819277108434,0.09337349397590361
123,0.0,0.9405120481927711,0.9405120481927711,1.0,0.8810240963855421,0.06626506024096386
456,0.0,0.9359939759036144,0.9337349397590362,0.9954819277108434,0.8719879518072289,0.06927710843373494
789,0.0,0.9344879518072289,0.9397590361445783,0.9924698795180723,0.8870481927710844,0.07680722891566265
999,0.0,0.927710843373494,0.9224397590361446,0.9864457831325302,0.858433734939759,0.11295180722891567
