variant,n_folds,n_seeds,n_categories,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,bias_score_amb_mean,bias_score_amb_std,false_abstention_rate_mean,false_abstention_rate_std,condition_accuracy_mean,condition_accuracy_std
ours_per_condition_oracle,45,5,9,0.9447098765432098,0.03295293680039828,0.8574316872427984,0.07472754256801081,0.38507653919517026,0.4820772881460214,0.0879037037037037,0.04848955116842469,0.9260664609053498,0.027346415927093342
ours_predicted_condition,45,5,9,0.9213942386831275,0.042136287190366245,0.8331205761316872,0.079263258617731,0.4274599648571154,0.4002901700260024,0.11608148148148148,0.05510840440273098,0.9260664609053498,0.027346415927093342
ours_single_tau,45,5,9,0.8362320987654321,0.05364428583426815,0.8012604938271605,0.09356025866185347,0.3417981348738252,0.31477355496046694,0.153620987654321,0.07774494021810935,0.9260664609053498,0.027346415927093342
