signal,n_seeds,delta_accuracy_amb_mean,delta_accuracy_amb_std,delta_accuracy_dis_mean,delta_accuracy_dis_std,delta_false_abstention_rate_mean,delta_false_abstention_rate_std,delta_bias_abs_amb_mean,delta_bias_abs_amb_std
s1_evidence,5,-0.001506024096385583,0.0028175130924502625,-0.0018072289156626509,0.004926333504155404,0.0036144578313253017,0.006616229709785777,0.3174603174603175,0.5915760366217213
s2_counterfactual,5,-0.0012048192771084488,0.0006735144510541619,0.0015060240963855388,0.0018444952882403678,0.001204819277108435,0.0038982467185375846,-0.07936507936507937,0.270773366813206
s3_confidence,5,-0.001204819277108471,0.002233794725028808,0.0,0.003367572255270735,0.002409638554216867,0.004338813340628891,-0.03439153439153434,0.16540210616233422
s4_consistency,5,-0.00030120481927713437,0.001963615182289932,-0.0015060240963855388,0.0033675722552707226,0.0033132530120481922,0.005471657266441245,-0.03968253968253962,0.4643365865495262
s5_bias_head,5,-0.001204819277108471,0.0019636151822899407,-0.0009036144578313144,0.0008248833697366859,0.0009036144578313254,0.0020205433531624607,-0.0015873015873014706,0.15937962369601538
s6_prompt_sensitivity,5,0.0009036144578313144,0.0025200603208857613,-0.003915662650602392,0.004467589450057607,0.008734939759036145,0.008068129660228233,-0.3303571428571428,0.5162124951374719
s7_sae_feature,5,-0.001506024096385561,0.0021298397023691456,-0.0006024096385542244,0.0050625711789071,0.0015060240963855414,0.006983146457451582,-0.028571428571428543,0.24411439272335794
