scorer,coverage,risk_mean,risk_std,accuracy_mean
chosen_softmax,0.1,0.012030075187969924,0.011402820216618873,0.98796992481203
chosen_softmax,0.2,0.031578947368421054,0.009436015336850475,0.968421052631579
chosen_softmax,0.3,0.05678391959798995,0.01173127389942588,0.94321608040201
chosen_softmax,0.4,0.08625235404896421,0.005554757515537711,0.9137476459510357
chosen_softmax,0.5,0.10873493975903614,0.004179047266720362,0.8912650602409639
chosen_softmax,0.6,0.1370138017565872,0.007229540923908625,0.8629861982434128
chosen_softmax,0.7,0.1703225806451613,0.007156800555825261,0.8296774193548387
chosen_softmax,0.8,0.20941619585687382,0.008542311435059681,0.7905838041431261
chosen_softmax,0.9,0.24435146443514644,0.0072711912958086915,0.7556485355648536
chosen_softmax,1.0,0.2802710843373494,0.008459244981917843,0.7197289156626506
condition_disambig_prob,0.1,0.05263157894736842,0.011888261880332252,0.9473684210526316
condition_disambig_prob,0.2,0.06240601503759398,0.008654785288136345,0.937593984962406
condition_disambig_prob,0.3,0.06984924623115578,0.007194884956420275,0.9301507537688443
condition_disambig_prob,0.4,0.09152542372881356,0.012951976545423276,0.9084745762711864
condition_disambig_prob,0.5,0.11987951807228915,0.00726958938924528,0.8801204819277109
condition_disambig_prob,0.6,0.18168130489335008,0.015196960530629628,0.8183186951066499
condition_disambig_prob,0.7,0.2172043010752688,0.013622429526150462,0.7827956989247312
condition_disambig_prob,0.8,0.2480225988700565,0.010932523746666667,0.7519774011299435
condition_disambig_prob,0.9,0.2677824267782427,0.013178255856086712,0.7322175732217573
condition_disambig_prob,1.0,0.2802710843373494,0.008459244981917843,0.7197289156626506
moe_retention,0.1,0.003007518796992481,0.004118214718083955,0.9969924812030075
moe_retention,0.2,0.008270676691729323,0.008572747557136376,0.9917293233082707
moe_retention,0.3,0.011557788944723618,0.011731273899425881,0.9884422110552764
moe_retention,0.4,0.01694915254237288,0.010400528264771433,0.9830508474576272
moe_retention,0.5,0.021987951807228914,0.0074239503276302635,0.9780120481927711
moe_retention,0.6,0.03538268506900878,0.009530805026264966,0.9646173149309912
moe_retention,0.7,0.06516129032258065,0.009545092912332107,0.9348387096774193
moe_retention,0.8,0.12146892655367232,0.007878154675462106,0.8785310734463276
moe_retention,0.9,0.20251046025104602,0.009936687938943868,0.797489539748954
moe_retention,1.0,0.2802710843373494,0.008459244981917843,0.7197289156626506
unknown_inverse,0.1,0.024060150375939848,0.014462694783211537,0.9759398496240601
unknown_inverse,0.2,0.06090225563909774,0.018107661020740292,0.9390977443609022
unknown_inverse,0.3,0.0949748743718593,0.016225009337651194,0.9050251256281407
unknown_inverse,0.4,0.1694915254237288,0.012841978999045068,0.8305084745762712
unknown_inverse,0.5,0.23132530120481928,0.0036269863189133424,0.7686746987951807
unknown_inverse,0.6,0.3028858218318695,0.009863610543053212,0.6971141781681305
unknown_inverse,0.7,0.34946236559139787,0.007410778898973235,0.6505376344086021
unknown_inverse,0.8,0.3318267419962335,0.008542311435059687,0.6681732580037665
unknown_inverse,0.9,0.3042677824267782,0.00947862677130988,0.6957322175732218
unknown_inverse,1.0,0.2802710843373494,0.008459244981917843,0.7197289156626506
