scorer,n,aurc_mean,aurc_std,eaurc_mean,eaurc_std
chosen_softmax,5,0.11966780057273856,0.003028240651650751,0.07595647673341721,0.0010894090287459708
condition_disambig_prob,5,0.14673381810182437,0.00722119016224084,0.10302249426250304,0.00604410549230102
moe_retention,5,0.0625915594110844,0.006025906923532021,0.018880235571763066,0.005731237972450792
unknown_inverse,5,0.20107645056575385,0.0016653918735850288,0.15736512672643252,0.002416433410627477
