seed,scorer,coverage,risk,accuracy
42,chosen_softmax,0.1,0.03007518796992481,0.9699248120300752
42,chosen_softmax,0.2,0.03759398496240601,0.9624060150375939
42,chosen_softmax,0.3,0.05025125628140704,0.949748743718593
42,chosen_softmax,0.4,0.08097928436911488,0.9190207156308852
42,chosen_softmax,0.5,0.10692771084337349,0.8930722891566265
42,chosen_softmax,0.6,0.13174404015056462,0.8682559598494354
42,chosen_softmax,0.7,0.16774193548387098,0.832258064516129
42,chosen_softmax,0.8,0.19962335216572505,0.800376647834275
42,chosen_softmax,0.9,0.2393305439330544,0.7606694560669456
42,chosen_softmax,1.0,0.28012048192771083,0.7198795180722892
42,unknown_inverse,0.1,0.045112781954887216,0.9548872180451128
42,unknown_inverse,0.2,0.07518796992481203,0.924812030075188
42,unknown_inverse,0.3,0.08793969849246232,0.9120603015075377
42,unknown_inverse,0.4,0.15065913370998116,0.8493408662900188
42,unknown_inverse,0.5,0.23042168674698796,0.7695783132530121
42,unknown_inverse,0.6,0.2986198243412798,0.7013801756587201
42,unknown_inverse,0.7,0.34838709677419355,0.6516129032258065
42,unknown_inverse,0.8,0.3333333333333333,0.6666666666666667
42,unknown_inverse,0.9,0.3054393305439331,0.6945606694560669
42,unknown_inverse,1.0,0.28012048192771083,0.7198795180722892
42,condition_disambig_prob,0.1,0.06766917293233082,0.9323308270676691
42,condition_disambig_prob,0.2,0.07518796992481203,0.924812030075188
42,condition_disambig_prob,0.3,0.07035175879396985,0.9296482412060302
42,condition_disambig_prob,0.4,0.09227871939736347,0.9077212806026366
42,condition_disambig_prob,0.5,0.12198795180722892,0.8780120481927711
42,condition_disambig_prob,0.6,0.18444165621079048,0.8155583437892095
42,condition_disambig_prob,0.7,0.2172043010752688,0.7827956989247312
42,condition_disambig_prob,0.8,0.2523540489642185,0.7476459510357816
42,condition_disambig_prob,0.9,0.2702928870292887,0.7297071129707113
42,condition_disambig_prob,1.0,0.28012048192771083,0.7198795180722892
42,moe_retention,0.1,0.0,1.0
42,moe_retention,0.2,0.0,1.0
42,moe_retention,0.3,0.0,1.0
42,moe_retention,0.4,0.005649717514124294,0.9943502824858758
42,moe_retention,0.5,0.010542168674698794,0.9894578313253012
