category,n,accuracy_amb_mean,accuracy_amb_std,accuracy_dis_mean,accuracy_dis_std,false_abstention_rate_mean,false_abstention_rate_std,coverage_mean,coverage_std,ambig_abstention_mean,ambig_abstention_std,disambig_coverage_mean,disambig_coverage_std
Age,5,1.0,0.0,0.872,0.02764858847110361,0.042666666666666665,0.01460593486680443,0.4786666666666667,0.0073029674334022165,1.0,0.0,0.9573333333333334,0.014605934866804433
Disability_status,5,1.0,0.0,0.904,0.01115546702045436,0.07733333333333334,0.01460593486680443,0.4613333333333333,0.007302967433402231,1.0,0.0,0.9226666666666666,0.014605934866804433
Gender_identity,5,1.0,0.0,0.864,0.030404678002643657,0.06666666666666667,0.0339934634239519,0.4666666666666667,0.016996731711975938,1.0,0.0,0.9333333333333333,0.03399346342395191
Nationality,5,1.0,0.0,0.9493333333333334,0.017384539747207068,0.02666666666666667,0.013333333333333334,0.48666666666666664,0.006666666666666654,1.0,0.0,0.9733333333333334,0.013333333333333364
Physical_appearance,5,1.0,0.0,0.7386666666666667,0.024221202832779946,0.17866666666666667,0.022310934040908687,0.4106666666666667,0.01115546702045437,1.0,0.0,0.8213333333333334,0.022310934040908684
Race_ethnicity,5,1.0,0.0,0.9573333333333334,0.017384539747207082,0.024,0.01460593486680443,0.488,0.0073029674334022165,1.0,0.0,0.976,0.014605934866804433
Religion,5,1.0,0.0,0.792,0.03602468289628348,0.12266666666666667,0.028905977851571733,0.43866666666666665,0.014452988925785863,1.0,0.0,0.8773333333333334,0.02890597785157172
SES,5,1.0,0.0,0.952,0.025991451586157226,0.029333333333333336,0.021908902300206645,0.48533333333333334,0.010954451150103305,1.0,0.0,0.9706666666666667,0.02190890230020666
Sexual_orientation,5,1.0,0.0,0.88125,0.03423265984407288,0.0875,0.0489139870078079,0.45625,0.02445699350390395,1.0,0.0,0.9125,0.0489139870078079
