seed,scorer,aurc,eaurc
42,chosen_softmax,0.1184785175591602,0.0748564214689977
42,unknown_inverse,0.20215122842401256,0.15852913233385008
42,condition_disambig_prob,0.15141899758691124,0.10779690149674874
42,moe_retention,0.05473526199376835,0.011113165903605851
123,chosen_softmax,0.11504148998908342,0.07575256989059052
123,unknown_inverse,0.19876144243258095,0.15947252233408804
123,condition_disambig_prob,0.14187345269544974,0.10258453259695684
123,moe_retention,0.06318216807584259,0.023893247977349694
456,chosen_softmax,0.12177236218638887,0.07511999175749554
456,unknown_inverse,0.20085213977421307,0.15419976934531973
456,condition_disambig_prob,0.1555336806865845,0.10888131025769116
456,moe_retention,0.06812041407305434,0.02146804364416101
789,chosen_softmax,0.12039443142928027,0.07652416442082724
789,unknown_inverse,0.20312343678502986,0.15925316977657683
789,condition_disambig_prob,0.1375032389534633,0.09363297194501027
789,moe_retention,0.0584053024264448,0.014535035417991775
999,chosen_softmax,0.12265220169977999,0.07752923612917509
999,unknown_inverse,0.20049400541293275,0.15537103984232786
999,condition_disambig_prob,0.1473397205867131,0.1022167550161082
999,moe_retention,0.0685146504863119,0.023391684915707006
